Season,Team0,Team1,DayDate,Seed,Site,MOV,FG2M,FG2A,FG3M,FG3A,FT1M,FT1A,ORB,DRB,AST,TOVR,STL,BLK,PFL,Outcome
2010,3114,3210,2010-03-21,5,0,10,-3,-15,5,6,11,18,-6,3,8,1,2,-2,-6,0
2010,3163,3380,2010-03-21,-15,0,56,17,-13,4,-10,18,19,0,30,20,6,2,4,-9,0
2010,3235,3250,2010-03-21,-9,1,37,18,9,2,-6,-1,-2,7,15,10,-2,-3,-3,-2,0
2010,3280,3292,2010-03-21,-3,0,4,3,-6,-5,-18,3,3,-1,8,-3,3,0,2,-5,0
2010,3304,3320,2010-03-21,-15,0,39,9,3,8,-3,13,14,3,8,12,-6,6,0,-7,0
2010,3156,3323,2010-03-21,-13,1,-28,-11,-5,-1,4,-5,-7,0,-7,-10,10,-5,-1,2,1
2010,3326,3384,2010-03-21,-13,0,34,17,5,-1,-13,1,0,3,14,16,-2,-2,1,3,0
2010,3328,3355,2010-03-21,-11,1,11,6,4,-4,-2,3,3,0,1,5,-5,5,4,-1,0
2010,3361,3400,2010-03-21,5,-1,11,0,-14,8,4,3,4,-3,10,4,7,-5,2,-2,0
2010,3241,3396,2010-03-21,-1,0,-12,-3,2,-2,1,-4,-1,7,2,-2,4,1,-6,2,1
2010,3301,3417,2010-03-21,-1,0,-20,-10,-1,2,13,-2,0,-2,-13,-8,-3,2,-3,1,1
2010,3177,3435,2010-03-21,-5,0,-7,3,13,2,-3,-15,-22,1,-7,-3,-1,-1,3,8,1
2010,3436,3458,2010-03-21,3,0,9,-1,-9,-2,-4,13,18,-5,0,1,-4,1,6,-9,0
2010,3249,3452,2010-03-21,-11,0,-15,-6,-6,1,1,-4,-9,-12,-8,-1,-2,-6,1,5,1
2010,3438,3453,2010-03-21,7,0,-2,9,23,-1,-3,-19,-17,3,-11,0,-11,13,2,5,1
2010,3190,3462,2010-03-21,-11,1,-12,-8,-18,8,5,-4,-2,-14,-4,-5,2,-3,-4,4,1
2010,3124,3207,2010-03-22,-1,0,16,4,-28,-3,-14,11,17,-12,13,1,8,0,11,-14,0
2010,3181,3261,2010-03-22,-5,1,8,3,4,-1,3,3,6,4,1,-8,-3,4,-1,1,0
2010,3199,3385,2010-03-22,-3,1,1,1,-4,6,12,-7,-12,-4,3,6,5,0,4,6,0
2010,3208,3329,2010-03-22,1,0,3,1,-3,2,9,-1,7,4,5,3,3,-4,4,-3,0
2010,3211,3401,2010-03-22,5,0,1,-4,-7,3,2,6,3,-4,0,-1,-1,-4,0,-4,0
2010,3246,3277,2010-03-22,-1,1,18,6,4,1,1,5,13,3,0,4,-7,6,-1,-8,0
2010,3234,3390,2010-03-22,-7,1,-29,-9,-3,-4,5,-7,-10,-6,-8,-13,-2,-1,-2,2,1
2010,3173,3397,2010-03-22,-7,1,-28,-14,-11,-2,2,2,-2,-4,-3,-11,6,-4,-5,0,1
2010,3163,3396,2010-03-23,-7,0,54,20,-5,7,-7,7,4,-4,24,12,0,-4,11,-8,0
2010,3235,3453,2010-03-23,-8,1,4,-1,3,2,7,4,11,3,-3,-2,-8,2,1,-8,0
2010,3280,3326,2010-03-23,5,0,20,9,7,2,7,0,4,-5,-3,4,-13,11,-4,-5,0
2010,3304,3417,2010-03-23,-7,0,13,-3,-17,3,2,16,28,-6,0,5,-2,-7,0,-14,0
2010,3323,3436,2010-03-23,-8,1,18,4,4,-4,-5,14,24,6,-1,1,-11,9,-4,-7,0
2010,3114,3328,2010-03-23,-8,1,-16,-4,4,-1,9,-7,-3,1,-9,-2,-2,5,0,6,1
2010,3361,3452,2010-03-23,8,0,9,3,5,2,-1,1,-2,1,2,9,-2,-1,0,-5,0
2010,3435,3462,2010-03-23,-3,1,-1,-4,-14,3,-1,4,1,-9,3,-2,8,-3,1,-3,1
2010,3124,3397,2010-03-27,3,-1,15,1,-23,-2,-9,15,10,-13,12,5,4,-3,10,-5,0
2010,3181,3361,2010-03-27,-9,0,8,4,6,-7,-16,7,11,9,5,1,-3,12,-3,-1,0
2010,3208,3390,2010-03-27,-4,1,-37,-16,-7,-1,5,-4,-2,-8,-16,-15,1,1,3,7,1
2010,3211,3462,2010-03-27,-4,0,-18,-7,1,-4,-3,0,-1,-6,-12,-4,-6,4,0,1,1
2010,3163,3235,2010-03-28,-3,0,38,11,13,5,1,11,13,9,6,12,-9,4,5,-1,0
2010,3199,3280,2010-03-28,-4,0,3,2,-8,-4,-6,3,1,-8,3,-1,0,1,3,-2,0
2010,3246,3304,2010-03-28,3,0,9,7,11,3,4,-8,-8,6,5,5,0,5,1,6,0
2010,3323,3328,2010-03-28,1,0,-5,-3,-7,-4,-6,5,6,-7,-4,-7,-5,4,0,0,1
2010,3124,3181,2010-03-29,2,0,3,3,-12,-1,-5,-2,0,-11,5,5,1,-2,5,2,0
2010,3390,3462,2010-03-29,-2,1,2,-3,-3,3,4,5,3,-1,1,2,0,-6,1,-4,0
2010,3163,3199,2010-03-30,-2,0,40,14,-3,2,-2,10,10,-1,16,13,-1,5,5,-1,0
2010,3246,3328,2010-03-30,-1,0,-20,-9,18,-3,2,1,1,12,-14,-9,-7,4,-2,-1,1
2010,3124,3163,2010-04-04,-3,0,-20,-11,-22,-2,-10,4,1,-8,3,-9,14,-1,2,2,1
2010,3328,3390,2010-04-04,-2,0,-7,-1,-1,3,2,-8,-11,-6,-6,-6,2,-3,1,7,1
2010,3163,3390,2010-04-06,0,0,6,1,-10,-2,-2,6,18,-2,2,-2,-1,3,6,-11,0
2011,3177,3298,2011-03-19,-11,0,13,9,26,-1,-4,-4,-4,10,-6,1,-15,7,2,-4,0
2011,3181,3404,2011-03-19,-13,1,45,22,26,3,3,-2,-3,6,2,17,-16,13,1,0,0
2011,3132,3210,2011-03-19,-7,0,-11,-7,-15,0,-3,3,0,-7,2,-6,9,-8,0,-2,1
2011,3211,3234,2011-03-19,5,1,6,7,10,-8,-15,0,0,6,1,2,-3,10,2,1,0
2011,3214,3246,2011-03-19,-9,0,-4,1,-1,-2,-4,-4,-6,2,3,-3,4,-4,0,-1,1
2011,3235,3265,2011-03-19,3,0,-10,-5,0,-5,-8,5,6,13,6,-9,10,-5,-4,-2,1
2011,3266,3400,2011-03-19,-1,0,3,-4,-18,-2,-4,13,14,-10,3,-4,3,-2,1,-9,0
2011,3201,3314,2011-03-19,-7,0,-14,-6,13,8,34,-10,-13,3,-15,2,-4,2,-5,8,1
2011,3323,3428,2011-03-19,-13,-1,13,7,1,-3,-11,2,6,-4,-3,9,-8,2,3,-5,0
2011,3326,3416,2011-03-19,-9,1,11,7,-2,-5,-8,2,6,-6,0,13,-7,2,6,-7,0
2011,3173,3336,2011-03-19,-5,1,-9,0,-2,7,11,-16,-16,-3,-2,6,9,-7,-3,8,1
2011,3385,3403,2011-03-19,1,0,5,1,0,-1,-6,4,10,5,2,2,1,-1,-1,-7,0
2011,3390,3413,2011-03-19,-15,1,27,9,9,7,8,2,0,6,8,15,-3,5,1,-3,0
2011,3113,3396,2011-03-19,3,0,-18,-10,-4,-2,2,4,4,3,-2,-1,8,-6,-1,-3,1
2011,3391,3397,2011-03-19,-15,1,-65,-27,-4,-5,4,-6,-15,-7,-25,-16,6,-4,-8,8,1
2011,3285,3417,2011-03-19,-11,0,-8,-1,9,6,13,-12,-21,2,0,3,6,-11,-3,6,1
2011,3124,3341,2011-03-20,-15,1,36,13,-5,-2,-4,12,23,2,16,9,-5,5,13,-7,0
2011,3163,3216,2011-03-20,-15,1,36,13,7,1,-7,9,9,9,15,11,0,-1,1,-4,0
2011,3199,3359,2011-03-20,-11,0,30,12,3,0,-8,6,9,9,20,8,4,2,-2,-2,0
2011,3207,3343,2011-03-20,-7,0,16,7,14,4,3,-2,-1,3,-5,-2,-10,0,3,1,0
2011,3208,3292,2011-03-20,-5,0,15,5,-12,-2,-13,7,8,-4,11,0,4,4,4,-4,0
2011,3257,3435,2011-03-20,-3,0,19,5,-7,1,1,8,8,2,14,5,6,-2,-1,-4,0
2011,3268,3384,2011-03-20,-9,1,22,7,6,1,2,7,11,9,8,2,-1,1,5,-3,0
2011,3205,3274,2011-03-20,-11,0,-18,-1,4,2,2,-18,-26,-3,-7,-5,7,-4,-7,11,1
2011,3277,3320,2011-03-20,-9,0,3,4,7,4,6,-9,-9,0,-1,5,-3,1,5,0,0
2011,3241,3328,2011-03-20,-5,0,-14,-3,10,-2,9,-6,-4,-1,-10,-5,-8,8,-2,1,1
2011,3243,3345,2011-03-20,1,0,-8,2,21,1,9,-13,-14,16,-1,-3,3,-3,-6,6,1
2011,3256,3353,2011-03-20,-3,0,-25,-11,8,-2,10,-1,2,5,-15,-11,-2,0,-2,-5,1
2011,3270,3401,2011-03-20,-13,0,-40,-18,-6,1,6,-5,-1,-3,-17,-23,1,-3,-5,-1,1
2011,3222,3452,2011-03-20,1,-1,-6,-4,-13,2,3,0,-3,-16,0,-2,-1,-4,2,2,1
2011,3114,3453,2011-03-20,-7,0,-4,0,-3,0,5,-4,-6,-7,-1,-2,0,1,-1,11,1
2011,3355,3462,2011-03-20,-13,1,-16,-7,-8,2,6,-4,-11,-12,-7,1,-2,-2,-4,2,1
2011,3177,3336,2011-03-21,-3,-1,2,-2,8,6,16,0,7,8,-6,-2,-3,1,-2,-1,0
2011,3181,3265,2011-03-21,-8,1,5,1,9,-5,-10,8,18,15,0,-6,-4,6,-2,-9,0
2011,3211,3417,2011-03-21,8,1,14,1,-12,0,-3,12,13,-7,7,6,0,0,-1,-10,0
2011,3246,3314,2011-03-21,1,0,-12,0,23,2,16,-14,-13,0,-24,-9,-14,2,-5,2,1
2011,3323,3396,2011-03-21,-8,0,13,6,-7,-3,-2,4,0,-3,11,12,4,-3,6,1,0
2011,3210,3326,2011-03-21,-1,1,-7,3,30,-1,7,-12,-16,13,-10,-5,-8,7,-5,12,1
2011,3385,3390,2011-03-21,-8,1,-26,-9,2,-5,-9,-3,-4,-2,-14,-8,-4,4,-5,6,1
2011,3266,3397,2011-03-21,-7,1,-9,-3,9,3,6,-6,-6,3,-9,-1,0,-1,-6,5,1
2011,3124,3452,2011-03-22,-8,1,14,0,-11,-3,-8,17,18,-1,12,0,0,-3,8,-11,0
2011,3163,3345,2011-03-22,-8,1,24,8,8,3,3,5,5,13,12,9,4,-1,-2,-5,0
2011,3207,3268,2011-03-22,1,-1,22,3,-5,10,9,6,2,-6,4,3,-3,1,2,2,0
2011,3199,3208,2011-03-22,3,0,-2,-5,-12,0,0,8,15,3,6,5,7,-6,2,-5,1
2011,3257,3462,2011-03-22,5,-1,10,1,-1,-5,-14,13,13,-2,2,-8,-12,13,-4,-3,0
2011,3274,3328,2011-03-22,3,0,-5,3,5,-3,-6,-8,-7,-2,-4,-6,-3,1,1,6,1
2011,3353,3401,2011-03-22,-5,0,-22,-5,1,-3,-3,-9,-9,1,-5,0,6,-2,-4,4,1
2011,3277,3453,2011-03-22,1,0,-9,1,15,1,10,-12,-16,14,1,0,6,-3,0,7,1
2011,3211,3257,2011-03-26,4,0,7,-5,-10,-2,-9,19,19,-7,0,-1,-6,5,2,-4,0
2011,3323,3328,2011-03-26,-4,0,25,5,4,8,7,7,9,12,11,10,0,7,1,-4,0
2011,3314,3390,2011-03-26,-4,0,-7,-3,-4,2,-8,-3,-4,1,2,-4,6,0,1,1,1
2011,3326,3397,2011-03-26,-3,0,-10,-5,-15,4,8,-4,-8,-15,-2,0,4,-2,6,5,1
2011,3124,3453,2011-03-27,-4,1,10,8,-9,-7,-18,1,3,-8,8,-2,0,-3,8,-7,0
2011,3163,3207,2011-03-27,-4,0,5,0,0,-2,-3,7,7,3,4,7,2,-1,-3,-7,0
2011,3177,3181,2011-03-27,-1,0,-7,-2,-7,8,11,-11,-15,-8,-1,1,6,-4,3,7,1
2011,3208,3401,2011-03-27,-4,1,-41,-13,-4,-6,-1,-9,-4,-1,-12,-6,5,-3,2,-1,1
2011,3323,3397,2011-03-28,1,0,14,3,-11,1,-8,7,5,-12,0,6,-3,3,1,-4,0
2011,3211,3390,2011-03-28,-10,0,-23,-8,14,-3,1,-4,-10,-2,-22,-2,-12,5,-1,0,1
2011,3163,3181,2011-03-29,-1,0,35,17,-5,-1,-8,2,3,-4,17,16,-2,2,4,-1,0
2011,3124,3401,2011-03-29,1,-1,-12,-6,-13,-1,-11,1,5,0,3,-2,7,-9,2,2,1
2011,3163,3323,2011-04-03,1,0,-9,-2,7,2,10,-7,-9,-2,-10,6,-4,3,2,6,1
2011,3390,3401,2011-04-03,1,0,-1,0,-19,-4,-14,3,9,-3,13,3,10,1,3,-1,1
2011,3323,3401,2011-04-05,0,0,-6,-5,-1,0,3,4,3,1,-4,-4,-2,2,-1,-2,1
2012,3116,3173,2012-03-17,-5,0,17,5,7,-2,-14,9,8,7,3,1,-4,5,-4,-6,0
2012,3163,3341,2012-03-17,-15,1,36,8,5,3,2,17,16,9,13,13,-2,5,5,-6,0
2012,3140,3177,2012-03-17,-3,0,-4,-3,5,3,13,-1,-7,7,4,10,5,-6,2,7,1
2012,3211,3353,2012-03-17,5,1,13,0,-2,2,-2,11,9,2,6,1,0,4,0,-9,0
2012,3243,3343,2012-03-17,-1,0,3,-1,-7,2,3,3,2,-9,-2,8,-4,-3,4,4,0
2012,3246,3270,2012-03-17,-13,0,6,4,-7,0,8,-2,3,4,14,6,7,-6,6,4,0
2012,3257,3277,2012-03-17,-3,0,12,-1,-2,1,-1,13,13,3,3,1,-2,2,1,-8,0
2012,3268,3298,2012-03-17,-13,1,15,4,-1,-2,-15,9,12,5,8,3,1,1,0,-4,0
2012,3226,3274,2012-03-17,-11,0,-29,-11,0,0,7,-7,-11,-5,-12,-4,0,-3,2,2,1
2012,3345,3355,2012-03-17,-9,1,15,10,9,1,1,-6,-7,-3,0,9,-8,9,6,4,0
2012,3185,3376,2012-03-17,-7,0,-32,-16,0,-5,-16,5,8,5,-7,-12,0,-5,-8,-6,1
2012,3214,3390,2012-03-17,-15,0,-22,-9,13,-4,0,0,3,2,-21,-13,-13,9,-6,-4,1
2012,3397,3404,2012-03-17,-13,0,23,9,4,6,7,-1,2,5,8,3,0,5,6,-3,0
2012,3107,3401,2012-03-17,-11,1,-22,-8,2,-4,-2,-2,-2,12,3,-5,9,-3,-5,4,1
2012,3400,3452,2012-03-17,-1,0,-13,-5,18,-1,0,-2,2,11,-12,-8,-7,6,-2,0,1
2012,3235,3453,2012-03-17,-3,-1,-14,-8,-20,-2,-8,4,6,1,11,-4,17,-14,0,-4,1
2012,3124,3364,2012-03-18,-15,0,41,11,-14,2,-6,17,29,-3,13,6,-3,2,4,-14,0
2012,3143,3234,2012-03-18,-1,0,10,0,7,-2,2,12,20,12,0,0,-7,4,0,-5,0
2012,3114,3174,2012-03-18,-11,0,-31,-12,-11,-5,0,-2,0,0,-1,-6,12,-6,1,2,1
2012,3181,3359,2012-03-18,-13,0,35,11,1,-3,-14,16,18,4,14,6,-5,1,1,-2,0
2012,3196,3326,2012-03-18,1,0,5,-2,15,5,10,4,3,14,-3,1,-3,-4,-9,0,0
2012,3201,3207,2012-03-18,-7,0,-5,-4,-6,2,19,1,0,1,5,3,5,-4,0,2,1
2012,3210,3357,2012-03-18,-9,0,26,7,0,3,-6,9,8,2,4,-2,-1,2,3,-5,0
2012,3242,3304,2012-03-18,5,0,8,5,5,1,-6,-3,1,3,0,0,-2,2,-2,0,0
2012,3261,3361,2012-03-18,-7,0,8,-4,-8,-3,-8,19,15,1,10,3,1,-6,0,-11,0
2012,3208,3265,2012-03-18,9,0,-6,3,21,3,9,-15,-17,10,-6,0,-3,9,0,12,1
2012,3251,3323,2012-03-18,-15,0,-31,-19,-24,0,-1,7,10,-6,-3,-20,12,-3,4,-4,1
2012,3276,3328,2012-03-18,-5,0,-21,-9,-11,-2,-6,-1,-4,-8,-2,-11,6,-6,0,2,1
2012,3336,3431,2012-03-18,-9,0,8,-1,-2,2,5,8,10,-3,-6,-4,-4,-3,0,-5,0
2012,3195,3382,2012-03-18,-7,0,-7,-4,1,4,14,-3,-5,3,-1,5,2,0,3,1,1
2012,3166,3385,2012-03-18,-11,0,-2,0,5,5,17,-7,-13,-5,-5,8,-2,1,-1,4,1
2012,3292,3435,2012-03-18,-3,0,-14,-3,13,1,5,-9,-11,9,-7,-4,1,-4,0,0,1
2012,3163,3243,2012-03-19,-7,0,46,18,-2,3,-6,7,7,-4,17,12,-4,2,4,1,0
2012,3211,3274,2012-03-19,8,0,11,3,-9,3,5,2,7,-6,3,10,-1,-3,2,-8,0
2012,3246,3453,2012-03-19,-5,0,3,4,-11,-1,-7,-4,-1,-1,10,1,10,-10,3,-3,0
2012,3257,3268,2012-03-19,-5,0,-4,0,7,-2,4,-2,-9,-1,-5,1,0,0,0,5,1
2012,3345,3376,2012-03-19,1,0,-11,-6,-1,-2,-6,3,-3,6,4,5,8,-5,3,6,1
2012,3390,3452,2012-03-19,-7,0,17,4,-7,-1,-6,10,14,-6,2,4,-7,3,5,-8,0
2012,3177,3397,2012-03-19,-5,0,-15,-2,5,-1,0,-10,-13,-7,-13,1,-6,4,-2,4,1
2012,3116,3401,2012-03-19,-3,0,-2,-1,7,1,5,-1,-1,2,-4,-5,-4,5,-1,0,1
2012,3124,3196,2012-03-20,-8,0,19,1,-15,0,-9,17,21,-7,7,0,-3,0,3,-11,0
2012,3181,3435,2012-03-20,-5,0,16,13,2,-5,-15,-5,-8,-6,7,13,-5,5,3,4,0
2012,3207,3210,2012-03-20,-1,0,-12,-5,12,-3,-7,1,2,9,-6,-11,-2,-2,0,1,1
2012,3174,3242,2012-03-20,8,0,-6,-9,-4,-4,-2,16,12,4,2,-4,4,-1,-1,-5,1
2012,3143,3323,2012-03-20,-7,0,-11,2,0,4,3,-19,-19,-3,-2,2,6,-6,-8,8,1
2012,3261,3336,2012-03-20,-1,0,-10,-2,8,-3,0,-3,-5,12,2,6,6,-3,0,3,1
2012,3265,3382,2012-03-20,-8,0,-3,-3,-1,0,6,3,1,-7,-7,1,-5,4,4,-1,1
2012,3328,3385,2012-03-20,-3,0,-4,-4,-17,0,1,4,5,-3,9,2,11,-4,2,-4,1
2012,3124,3210,2012-03-24,-3,0,15,4,-14,-9,-13,16,21,-12,1,3,-9,1,7,-12,0
2012,3181,3385,2012-03-24,-1,0,27,9,-4,2,1,7,9,-4,8,2,-4,8,4,-1,0
2012,3376,3390,2012-03-24,-4,0,-16,-3,15,3,11,-13,-15,9,-7,-5,0,2,-6,8,1
2012,3242,3397,2012-03-24,-9,0,-11,2,0,-1,-4,-14,-13,-5,-4,-2,1,-2,1,3,1
2012,3163,3336,2012-03-25,-3,0,18,11,6,0,0,-4,-8,1,13,7,-1,-1,2,3,0
2012,3211,3246,2012-03-25,-9,0,-17,0,6,-11,-15,-6,-13,-3,-7,-6,-4,-1,-1,5,1
2012,3268,3401,2012-03-25,-1,0,7,2,-2,-1,-8,4,6,4,8,0,4,-2,0,-5,0
2012,3323,3382,2012-03-25,-4,0,44,23,13,4,-2,-6,-9,3,14,16,-6,5,3,-1,0
2012,3124,3397,2012-03-26,-1,0,19,3,-14,4,-6,9,10,-8,8,3,2,-3,7,-7,0
2012,3181,3390,2012-03-26,-1,0,-12,-5,3,-4,-4,2,-4,1,-2,-11,0,-4,-1,5,1
2012,3163,3246,2012-03-27,-1,0,15,4,-16,-2,-6,9,13,-2,16,13,8,-1,2,-4,0
2012,3268,3323,2012-03-27,-1,0,-31,-10,-9,-3,-3,-8,-9,-9,-10,-11,4,-1,1,1,1
2012,3124,3390,2012-04-01,0,0,12,-1,-8,0,-9,14,19,1,7,0,-1,1,-3,-8,0
2012,3163,3323,2012-04-01,0,0,-8,2,-4,-2,-1,-10,-14,-5,4,-3,5,-4,1,4,1
2012,3124,3323,2012-04-03,0,0,19,7,-4,-1,-2,6,5,4,15,7,4,-4,2,-6,0
2013,3143,3201,2013-03-23,-13,0,14,9,-1,-8,-18,4,10,9,14,9,4,-1,4,-7,0
2013,3163,3225,2013-03-23,-15,1,68,28,16,3,-4,9,11,6,16,19,-15,10,5,-4,0
2013,3166,3393,2013-03-23,3,0,5,2,-3,8,17,-7,-11,0,8,5,7,-8,-1,4,0
2013,3208,3285,2013-03-23,-9,0,20,11,3,-1,0,-1,-4,-8,2,4,-9,0,4,5,0
2013,3211,3235,2013-03-23,-7,0,-12,0,27,-2,1,-10,-7,8,-21,-3,-14,13,-1,7,1
2013,3160,3242,2013-03-23,7,-1,-15,-12,2,-2,-3,11,19,9,-9,-8,-4,8,-1,-3,1
2013,3268,3346,2013-03-23,-9,1,20,11,-8,-6,-14,4,7,0,18,5,7,-4,0,-4,0
2013,3265,3277,2013-03-23,-7,0,-8,-4,-10,-1,-8,1,2,-6,1,-7,3,1,1,0,1
2013,3151,3304,2013-03-23,-5,0,-14,0,16,3,15,-17,-22,2,-11,5,-3,3,3,11,1
2013,3141,3328,2013-03-23,-5,0,-5,1,31,-1,14,-6,-3,12,-18,-5,-17,7,-1,2,1
2013,3355,3376,2013-03-23,-9,0,-22,-8,0,-1,3,-5,-8,-3,-9,-7,1,0,-3,8,1
2013,3378,3403,2013-03-23,3,-1,1,4,-1,-1,-2,-6,-8,-2,7,2,3,-3,3,2,0
2013,3331,3397,2013-03-23,-13,1,-21,-7,1,1,6,-8,-6,0,-9,-9,1,-2,2,1,1
2013,3401,3455,2013-03-23,-11,1,26,8,0,0,-7,10,10,5,11,15,0,-2,0,-3,0
2013,3391,3417,2013-03-23,-11,0,-17,-8,2,2,13,-3,-1,3,-7,-6,0,1,-2,1,1
2013,3386,3435,2013-03-23,-1,0,-6,-3,-4,-1,3,1,-5,-10,-5,-1,-4,1,2,1,1
2013,3124,3341,2013-03-24,-15,1,42,13,-13,-4,-12,20,29,-4,17,13,-3,5,10,-20,0
2013,3173,3385,2013-03-24,-3,-1,6,6,7,5,12,-11,-9,2,-2,0,-1,0,-3,4,0
2013,3174,3452,2013-03-24,-5,1,13,2,4,-5,-16,14,16,3,0,0,-8,5,3,-13,0
2013,3181,3214,2013-03-24,-13,1,16,8,-1,1,-4,-1,-3,-1,9,13,1,4,2,-1,0
2013,3199,3343,2013-03-24,-1,0,16,8,-15,-4,-18,4,3,-19,5,4,-5,1,4,-5,0
2013,3234,3274,2013-03-24,1,1,16,5,-2,2,-8,4,-1,-10,-5,5,-8,1,0,-1,0
2013,3246,3298,2013-03-24,-13,0,20,8,13,-3,-11,7,2,8,5,1,-6,9,2,-3,0
2013,3257,3292,2013-03-24,-7,1,25,12,11,-6,-13,7,12,-3,-3,8,-16,14,-2,-3,0
2013,3261,3453,2013-03-24,-5,1,4,1,2,-3,-14,5,8,2,-2,1,-2,-1,2,-11,0
2013,3276,3437,2013-03-24,-1,0,8,1,-16,-1,-15,7,7,-3,14,0,8,-3,-1,-5,0
2013,3107,3314,2013-03-24,-11,0,-5,-2,6,1,9,-2,-4,4,-3,6,2,-4,-8,-1,1
2013,3323,3404,2013-03-24,-15,0,33,14,12,-6,-10,11,7,15,20,17,-4,4,3,1,0
2013,3177,3329,2013-03-24,-3,0,-17,-9,17,5,25,-4,-8,12,-13,0,0,-3,-6,2,1
2013,3142,3336,2013-03-24,-11,0,-30,-15,-4,-2,3,2,3,-1,-11,-6,0,0,-5,1,1
2013,3251,3345,2013-03-24,-9,0,-34,-11,5,-6,-5,-6,-10,6,-8,-10,1,0,-2,4,1
2013,3390,3409,2013-03-24,-15,1,16,8,-8,1,-4,-1,0,-4,13,8,5,-7,5,-2,0
2013,3143,3378,2013-03-25,-8,0,4,3,-3,-3,-15,1,13,2,-2,4,0,-2,-2,-10,0
2013,3163,3435,2013-03-25,-7,1,33,15,14,2,4,1,-2,4,6,10,-11,8,4,-1,0
2013,3208,3235,2013-03-25,-1,0,5,2,4,3,-1,-2,-2,-3,-6,1,-7,3,0,-1,0
2013,3242,3376,2013-03-25,8,0,6,2,-9,3,2,-1,-4,-9,5,5,2,-2,2,2,0
2013,3268,3277,2013-03-25,-1,1,25,6,-1,4,-3,9,13,4,10,5,0,3,2,-2,0
2013,3304,3401,2013-03-25,3,-1,11,-2,-4,2,5,13,13,5,7,4,-1,1,-3,-5,0
2013,3328,3417,2013-03-25,3,0,13,-2,-9,9,15,8,12,-10,-3,-8,-7,1,2,-3,0
2013,3166,3397,2013-03-25,-8,1,-16,-5,9,-2,12,-4,-6,9,-3,-2,5,-7,-5,5,1
2013,3124,3199,2013-03-26,-7,1,38,19,-4,1,-2,-1,2,5,26,12,9,-5,3,-4,0
2013,3174,3314,2013-03-26,3,1,9,1,-2,-5,-10,12,12,3,5,-8,-2,-2,-2,-11,0
2013,3181,3329,2013-03-26,-5,1,9,2,10,-1,-2,6,11,7,-2,-3,-8,0,3,-3,0
2013,3173,3246,2013-03-26,-5,0,-14,-11,-21,-4,-11,12,14,-5,3,0,7,-3,0,-8,1
2013,3257,3345,2013-03-26,1,1,13,3,1,3,1,4,8,4,2,3,-1,1,0,-3,0
2013,3261,3336,2013-03-26,3,1,5,0,-5,1,-3,4,4,-5,0,1,-1,-2,3,-6,0
2013,3234,3323,2013-03-26,-8,-1,-17,-1,-7,-6,-5,-9,-10,-8,-1,-4,6,-2,4,4,1
2013,3276,3390,2013-03-26,-7,1,-33,-14,-4,-9,-9,4,3,-1,-12,-4,1,3,-3,-10,1
2013,3143,3261,2013-03-30,-4,0,10,-4,-9,2,-1,16,28,0,1,1,-5,9,-3,-12,0
2013,3163,3268,2013-03-30,-3,1,26,13,6,0,6,0,-2,-1,6,7,-8,8,3,-1,0
2013,3208,3390,2013-03-30,3,0,2,-3,-3,1,3,7,14,0,-4,0,-3,2,-1,-7,0
2013,3174,3246,2013-03-30,-4,0,-7,-4,-9,-6,-18,7,1,-2,7,-2,8,-6,-1,3,1
