Season,Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
2010,22,Sun Belt Conference,13,199,212,.484,-5.85,-3.73,0,1,0,Middle Tennessee (East) Troy (East) North Texas (West),North Texas
2010,23,Southland Conference,11,179,161,.526,-6.54,-4.35,0,1,0,Stephen F. Austin (East) Sam Houston State (West),Sam Houston State
2010,24,Ivy League,8,117,123,.488,-6.73,-4.33,0,1,0,Cornell,
2010,25,America East Conference,9,132,153,.463,-8.18,-5.80,0,1,0,Stony Brook,Vermont
2010,26,Summit League,10,152,160,.487,-8.42,-4.68,0,1,0,Oakland,Oakland
2010,27,Patriot League,8,112,134,.455,-8.90,-7.31,0,1,0,Lehigh,Lehigh
2010,28,Northeast Conference,11,152,190,.444,-11.25,-7.91,0,1,0,Quinnipiac Robert Morris,Robert Morris
2010,29,Mid-Eastern Athletic Conference,11,150,201,.427,-12.07,-7.19,0,1,0,Morgan State,Morgan State
2010,30,Big South Conference,9,142,137,.509,-12.40,-7.59,0,1,0,Coastal Carolina,Winthrop
2010,31,Independent,2,23,34,.404,-13.80,-4.75,0,0,0,,
2010,32,Southwest Athletic Conference,10,120,188,.390,-18.01,-11.01,0,1,0,Jackson State,Arkansas-Pine Bluff
2010,33,Great West Conference,4,37,89,.294,-18.72,-7.39,0,0,0,South Dakota,South Dakota
2011,1,Big Ten Conference,11,224,146,.605,14.63,9.56,0,7,0,Ohio State,Ohio State
2011,2,Big East Conference,16,331,210,.612,13.27,8.59,0,11,1,Pittsburgh,Connecticut
2011,3,Big 12 Conference,12,257,149,.633,12.00,6.30,0,5,0,Kansas,Kansas
2011,4,Atlantic Coast Conference,12,241,163,.597,11.23,6.82,0,4,0,North Carolina,Duke
2011,5,Pacific-10 Conference,10,195,146,.572,10.07,7.19,1,4,0,Arizona,Washington
2011,6,Southeastern Conference,12,237,165,.590,8.57,5.23,0,5,1,Florida (East) Alabama (West),Kentucky
2011,7,Mountain West Conference,9,181,120,.601,8.16,5.07,0,3,0,Brigham Young San Diego State,San Diego State
2011,8,Conference USA,12,233,160,.593,4.39,1.88,0,2,0,UAB,Memphis
2011,9,Atlantic 10 Conference,14,243,209,.538,3.15,2.37,0,3,0,Xavier,Richmond
2011,10,West Coast Conference,8,142,126,.530,2.64,2.17,0,1,0,Gonzaga Saint Mary's (CA),Gonzaga
2011,11,Missouri Valley Conference,10,184,153,.546,2.32,1.45,0,1,0,Missouri State,Indiana State
2011,12,Horizon League,10,179,153,.539,1.87,1.73,0,1,1,Butler Cleveland State Milwaukee,Butler
2011,13,Western Athletic Conference,9,161,133,.548,1.56,0.34,0,1,0,Utah State,Utah State
2011,14,Colonial Athletic Association,12,209,182,.535,0.81,0.47,0,3,1,George Mason,Old Dominion
2011,15,Big West Conference,9,131,152,.463,-2.98,-1.28,0,1,0,Long Beach State,UC Santa Barbara
2011,16,Mid-American Conference,12,189,209,.475,-3.29,-1.48,0,1,0,Kent State (East) Western Michigan (West),Akron
2011,17,Ivy League,8,117,113,.509,-3.53,-2.64,0,1,0,Harvard Princeton,
2011,18,Metro Atlantic Athletic Conference,10,157,168,.483,-3.60,-2.53,0,1,0,Fairfield,Saint Peter's
2011,19,Atlantic Sun Conference,11,164,189,.465,-4.70,-2.65,0,1,0,Belmont,Belmont
2011,20,Summit League,10,149,164,.476,-4.81,-2.98,0,1,0,Oakland,Oakland
2011,21,Big Sky Conference,9,132,144,.478,-5.05,-2.89,0,1,0,Northern Colorado,Northern Colorado
2011,22,Southern Conference,12,185,205,.474,-5.14,-2.54,0,1,0,Chattanooga (North) Western Carolina (North) College of Charleston (South) Wofford (South),Wofford
2011,23,Sun Belt Conference,12,176,198,.471,-5.88,-3.65,0,1,0,Florida Atlantic (East) Arkansas State (West) Louisiana (West),Little Rock
2011,24,Ohio Valley Conference,10,153,166,.480,-6.46,-4.94,0,1,0,Murray State,Morehead State
2011,25,Big South Conference,10,155,161,.491,-6.49,-3.87,0,1,0,Coastal Carolina,UNC Asheville
2011,26,Northeast Conference,12,168,200,.457,-6.72,-4.68,0,1,0,Long Island University,Long Island University
2011,27,Patriot League,8,113,135,.456,-6.95,-5.14,0,1,0,Bucknell,Bucknell
2011,28,Southland Conference,12,181,186,.493,-7.76,-5.22,0,1,0,McNeese State (East) Sam Houston State (West) Texas State (West),UTSA
2011,29,America East Conference,9,126,157,.445,-8.17,-5.41,0,1,0,Vermont,Boston University
2011,30,Mid-Eastern Athletic Conference,11,151,196,.435,-12.83,-7.66,0,1,0,Bethune-Cookman,Hampton
2011,31,Independent,6,67,112,.374,-13.53,-3.71,0,0,0,,
2011,32,Great West Conference,7,88,133,.398,-15.02,-8.40,0,0,0,Utah Valley,North Dakota
2011,33,Southwest Athletic Conference,10,116,197,.371,-16.98,-9.41,0,1,0,Texas Southern,Alabama State
2012,1,Big Ten Conference,12,260,157,.624,12.77,8.18,0,6,1,Michigan Michigan State Ohio State,Michigan State
2012,2,Big 12 Conference,10,209,131,.615,11.71,7.49,1,6,1,Kansas,Missouri
2012,3,Big East Conference,16,334,217,.606,10.66,6.81,0,9,1,Syracuse,Louisville
2012,4,Southeastern Conference,12,246,160,.606,10.09,6.24,0,4,1,Kentucky,Vanderbilt
2012,5,Atlantic Coast Conference,12,232,166,.583,8.74,5.76,0,5,0,North Carolina,Florida State
2012,6,Mountain West Conference,8,165,96,.632,7.04,3.36,0,4,0,New Mexico San Diego State,New Mexico
2012,7,Pac-12 Conference,12,226,185,.550,6.74,4.83,0,2,0,Washington,Colorado
2012,8,Atlantic 10 Conference,14,251,205,.550,5.28,3.59,0,4,0,Temple,St. Bonaventure
2012,9,Missouri Valley Conference,10,180,151,.544,4.85,3.48,0,2,0,Wichita State,Creighton
2012,10,Conference USA,12,218,172,.559,4.15,2.48,0,2,0,Memphis,Memphis
2012,11,West Coast Conference,9,158,132,.545,1.63,1.33,0,3,0,Saint Mary's (CA),Saint Mary's (CA)
2012,12,Western Athletic Conference,8,150,121,.554,0.42,-0.40,0,1,0,Nevada,New Mexico State
2012,13,Horizon League,10,167,160,.511,-1.41,-0.21,0,1,0,Valparaiso,Detroit Mercy
2012,14,Colonial Athletic Association,12,197,200,.496,-1.41,-0.86,0,1,0,Drexel,Virginia Commonwealth
2012,15,Mid-American Conference,12,195,197,.497,-1.56,-0.91,0,1,0,Akron (East) Eastern Michigan (West),Ohio
2012,16,Sun Belt Conference,12,177,197,.473,-2.26,-0.88,0,1,0,Middle Tennessee (East) Little Rock (West),Western Kentucky
2012,17,Ivy League,8,125,119,.512,-2.42,-2.08,0,1,0,Harvard,
2012,18,Atlantic Sun Conference,10,156,167,.483,-2.54,-1.03,0,1,0,Belmont,Belmont
2012,19,Summit League,10,168,153,.523,-2.72,-1.94,0,1,0,Oral Roberts,South Dakota State
2012,20,Metro Atlantic Athletic Conference,10,157,169,.482,-4.10,-2.85,0,2,0,Iona,Loyola (MD)
2012,21,Big West Conference,9,133,148,.473,-4.29,-2.33,0,1,0,Long Beach State,Long Beach State
2012,22,Southern Conference,12,179,200,.472,-5.83,-3.13,0,1,0,UNC Greensboro (North) Davidson (South),Davidson
2012,23,Patriot League,8,123,128,.490,-6.16,-4.75,0,1,0,Bucknell,Lehigh
2012,24,Big Sky Conference,9,127,145,.467,-6.20,-3.69,0,1,0,Montana,Montana
2012,25,Big South Conference,11,167,182,.479,-6.22,-4.25,0,1,0,UNC Asheville,UNC Asheville
2012,26,Ohio Valley Conference,11,172,175,.496,-6.30,-4.05,0,1,0,Murray State,Murray State
2012,27,Southland Conference,12,180,197,.477,-7.31,-4.47,0,1,0,Lamar (East) UT Arlington (West),Lamar
2012,28,Northeast Conference,12,167,207,.447,-7.42,-4.99,0,1,0,Long Island University,Long Island University
2012,29,America East Conference,9,121,163,.426,-8.80,-6.12,0,1,0,Stony Brook,Vermont
2012,30,Independent,3,38,51,.427,-10.60,-4.13,0,0,0,,
2012,31,Mid-Eastern Athletic Conference,13,176,238,.425,-10.63,-6.05,0,1,0,Savannah State,Norfolk State
2012,32,Great West Conference,6,77,112,.407,-12.73,-5.90,0,0,0,Utah Valley,North Dakota
2012,33,Southwest Athletic Conference,10,118,195,.377,-16.71,-9.40,0,1,0,Mississippi Valley State,Mississippi Valley State
2013,1,Big Ten Conference,12,262,159,.622,14.14,9.21,0,7,1,Indiana,Ohio State
2013,2,Big East Conference,15,316,191,.623,11.83,7.30,0,8,2,Georgetown Louisville Marquette,Louisville
2013,3,Atlantic Coast Conference,12,245,163,.600,10.10,6.47,0,4,0,Miami (FL),Miami (FL)
2013,4,Pac-12 Conference,12,237,168,.585,9.84,6.67,1,5,0,UCLA,Oregon
2013,5,Big 12 Conference,10,199,139,.589,9.49,6.29,0,5,0,Kansas Kansas State,Kansas
2013,6,Mountain West Conference,9,185,113,.621,8.32,5.53,0,5,0,New Mexico,New Mexico
2013,7,Southeastern Conference,14,263,203,.564,8.24,5.12,0,3,0,Florida,Mississippi
2013,8,Atlantic 10 Conference,16,293,225,.566,6.10,4.25,0,5,0,Saint Louis,Saint Louis
2013,9,Missouri Valley Conference,10,194,150,.564,6.07,4.27,0,2,1,Creighton,Creighton
2013,10,West Coast Conference,9,175,130,.574,4.57,2.80,0,2,0,Gonzaga,Gonzaga
2013,11,Conference USA,12,225,175,.563,1.44,0.41,0,1,0,Memphis,Memphis
2013,12,Western Athletic Conference,10,164,156,.513,-0.50,-0.65,0,1,0,Denver Louisiana Tech,New Mexico State
2013,13,Horizon League,9,160,140,.533,-0.53,-0.57,0,1,0,Valparaiso,Valparaiso
2013,14,Metro Atlantic Athletic Conference,10,161,169,.488,-2.09,-1.46,0,1,0,Niagara,Iona
2013,15,Mid-American Conference,12,191,196,.494,-2.29,-1.36,0,1,0,Akron (East) Ohio (East) Western Michigan (West),Akron
2013,16,Big West Conference,10,156,169,.480,-3.17,-1.24,0,1,0,Long Beach State,Pacific
2013,17,Sun Belt Conference,11,174,178,.494,-3.43,-2.45,0,2,0,Middle Tennessee (East) Arkansas State (West),Western Kentucky
2013,18,Patriot League,8,125,128,.494,-3.53,-3.03,0,1,0,Bucknell,Bucknell
2013,19,Colonial Athletic Association,11,163,192,.459,-3.55,-1.82,0,1,0,Northeastern,James Madison
2013,20,Ivy League,8,107,128,.455,-3.72,-1.97,0,1,0,Harvard,
2013,21,Ohio Valley Conference,12,188,187,.501,-5.22,-3.53,0,1,0,Belmont (East) Murray State (West),Belmont
2013,22,America East Conference,9,135,147,.479,-5.62,-4.15,0,1,0,Stony Brook,Albany (NY)
2013,23,Summit League,9,138,153,.474,-6.43,-3.55,0,1,0,South Dakota State Western Illinois,South Dakota State
2013,24,Atlantic Sun Conference,10,144,176,.450,-6.84,-3.67,0,1,0,Mercer,Florida Gulf Coast
2013,25,Northeast Conference,12,171,203,.457,-7.32,-4.59,0,1,0,Robert Morris,Long Island University
2013,26,Southern Conference,12,175,212,.452,-7.57,-4.78,0,1,0,Elon (North) Davidson (South),Davidson
2013,27,Southland Conference,10,145,170,.460,-7.81,-4.52,0,1,0,Stephen F. Austin,Northwestern State
2013,28,Big Sky Conference,11,157,187,.456,-8.32,-5.40,0,1,0,Montana,Montana
29,Big South Conference,12,172,214,.446,-8.81,-5.62,0,1,0,High Point (North) Charleston Southern (South),Liberty
2013,30,Mid-Eastern Athletic Conference,13,173,244,.415,-10.51,-6.01,0,1,0,Norfolk State,North Carolina A&T
2013,31,Great West Conference,5,71,86,.452,-12.03,-7.45,0,0,0,NJIT,Chicago State
2013,32,Independent,2,22,34,.393,-13.88,-4.18,0,0,0,,
2013,33,Southwest Athletic Conference,10,118,192,.381,-15.30,-8.90,0,1,0,Texas Southern,Southern
2014,1,Big 12 Conference,10,207,133,.609,13.24,9.09,1,7,0,Kansas,Iowa State
2014,2,Big Ten Conference,12,258,159,.619,13.18,8.31,0,6,1,Michigan,Michigan State
2014,3,Pac-12 Conference,12,248,160,.608,11.22,7.59,1,6,0,Arizona,UCLA
2014,4,Big East Conference,10,198,136,.593,10.90,7.21,0,4,0,Villanova,Providence
2014,5,Atlantic Coast Conference,15,300,210,.588,10.80,7.21,0,6,0,Virginia,Virginia
2014,6,Southeastern Conference,14,281,199,.585,9.66,6.47,0,3,2,Florida,Florida
2014,7,American Athletic Conference,10,204,138,.596,9.08,5.79,0,4,1,Cincinnati Louisville,Louisville
2014,8,Atlantic 10 Conference,13,251,176,.588,6.55,4.12,0,6,0,Saint Louis,Saint Joseph's
2014,9,West Coast Conference,10,189,146,.564,5.23,3.63,0,2,0,Gonzaga,Gonzaga
2014,10,Mountain West Conference,11,206,160,.563,4.64,3.26,0,2,0,San Diego State,New Mexico
2014,11,Missouri Valley Conference,10,177,152,.538,1.53,0.98,0,1,0,Wichita State,Wichita State
2014,12,Horizon League,9,152,145,.512,-0.50,-0.22,0,1,0,Green Bay,Milwaukee
2014,13,Conference USA,16,280,248,.530,-1.15,-0.84,0,1,0,Louisiana Tech Middle Tennessee Tulsa,Tulsa
2014,14,Mid-American Conference,12,208,184,.531,-1.49,-0.95,0,1,0,Buffalo (East) Toledo (West) Western Michigan (West),Western Michigan
2014,15,Ivy League,8,125,117,.517,-1.77,-1.67,0,1,0,Harvard,
2014,16,Big West Conference,9,140,150,.483,-1.90,-0.73,0,1,0,UC Irvine,Cal Poly
2014,17,Metro Atlantic Athletic Conference,11,173,187,.481,-2.31,-1.53,0,1,0,Iona,Manhattan
2014,18,Sun Belt Conference,10,157,160,.495,-2.75,-1.41,0,1,0,Georgia State,Louisiana
2014,19,Colonial Athletic Association,9,141,152,.481,-2.78,-1.53,0,1,0,Delaware,Delaware
2014,20,Summit League,8,131,125,.512,-2.92,-1.74,0,1,0,North Dakota State,North Dakota State
2014,21,Patriot League,10,153,164,.483,-4.58,-3.67,0,1,0,Boston University,American
2014,22,Western Athletic Conference,9,135,153,.469,-5.77,-3.41,0,1,0,Utah Valley,New Mexico State
2014,23,Ohio Valley Conference,12,185,201,.479,-6.54,-4.28,0,1,0,Belmont (East) Murray State (West),Eastern Kentucky
2014,24,Big Sky Conference,11,159,182,.466,-7.38,-4.79,0,1,0,Weber State,Weber State
2014,25,Atlantic Sun Conference,10,152,172,.469,-7.47,-4.72,0,1,0,Florida Gulf Coast Mercer,Mercer
2014,26,Northeast Conference,10,138,178,.437,-8.67,-5.31,0,1,0,Robert Morris,Mount St. Mary's
2014,27,America East Conference,9,119,162,.423,-9.19,-5.59,0,1,0,Vermont,Albany (NY)
2014,28,Big South Conference,12,186,206,.474,-9.84,-6.56,0,1,0,High Point (North) Coastal Carolina (South),Coastal Carolina
2014,29,Southland Conference,14,206,226,.477,-10.37,-6.20,0,1,0,Stephen F. Austin,Stephen F. Austin
2014,30,Southern Conference,11,162,195,.454,-10.38,-6.54,0,1,0,Davidson,Wofford
2014,31,Mid-Eastern Athletic Conference,13,167,246,.404,-11.13,-6.53,0,1,0,North Carolina Central,North Carolina Central
2014,32,Independent,1,13,16,.448,-12.52,-7.48,0,0,0,,
2014,33,Southwest Athletic Conference,10,132,184,.418,-14.47,-9.03,0,1,0,Southern,Texas Southern
2015,1,Big 12 Conference,10,209,128,.620,14.05,9.03,1,7,0,Kansas,Iowa State
2015,2,Atlantic Coast Conference,15,316,200,.612,12.33,8.06,0,6,1,Virginia,Notre Dame
2015,3,Big Ten Conference,14,287,191,.600,12.22,8.02,0,7,2,Wisconsin,Wisconsin
2015,4,Big East Conference,10,199,136,.594,12.20,8.51,1,6,0,Villanova,Villanova
2015,5,Southeastern Conference,14,276,198,.582,10.65,7.51,0,5,1,Kentucky,Kentucky
2015,6,Pac-12 Conference,12,242,166,.593,9.74,6.59,1,4,0,Arizona,Arizona
2015,7,West Coast Conference,10,179,147,.549,5.07,3.84,0,2,0,Gonzaga,Gonzaga
2015,8,Atlantic 10 Conference,14,250,209,.545,4.43,3.32,0,3,0,Davidson,Virginia Commonwealth
2015,9,American Athletic Conference,11,200,164,.549,3.35,2.29,0,2,0,Southern Methodist,Southern Methodist
2015,10,Missouri Valley Conference,10,187,150,.555,2.25,1.50,0,2,0,Wichita State,Northern Iowa
2015,11,Mountain West Conference,11,195,163,.545,1.69,1.32,0,3,0,Boise State San Diego State,Wyoming
2015,12,Mid-American Conference,12,216,176,.551,1.20,-0.07,0,1,0,Buffalo (East) Kent State (East) Central Michigan (West),Buffalo
2015,13,Big West Conference,9,148,143,.509,-0.76,0.09,0,1,0,UC Davis,UC Irvine
2015,14,Conference USA,14,234,222,.513,-1.42,-0.75,0,1,0,Louisiana Tech,UAB
2015,15,Horizon League,9,148,146,.503,-1.69,-0.54,0,1,0,Valparaiso,Valparaiso
2015,16,Ivy League,8,122,116,.513,-1.99,-1.76,0,1,0,Harvard Yale,
2015,17,Colonial Athletic Association,10,157,168,.483,-3.02,-2.07,0,1,0,James Madison Northeastern UNC Wilmington William & Mary,Northeastern
2015,18,Independent,1,21,12,.636,-3.21,-4.07,0,0,0,,
2015,19,Metro Atlantic Athletic Conference,11,166,189,.468,-3.75,-2.93,0,1,0,Iona,Manhattan
2015,20,Sun Belt Conference,11,181,172,.513,-4.40,-3.48,0,1,0,Georgia State,Georgia State
2015,21,Summit League,9,141,143,.496,-4.83,-3.21,0,1,0,North Dakota State South Dakota State,North Dakota State
2015,22,Ohio Valley Conference,12,190,192,.497,-4.99,-3.44,0,1,0,Belmont (East) Eastern Kentucky (East) Murray State (West),Belmont
2015,23,Patriot League,10,154,161,.489,-5.35,-3.55,0,1,0,Bucknell,Lafayette
2015,24,Southern Conference,10,157,165,.488,-6.24,-4.07,0,1,0,Wofford,Wofford
2015,25,Big Sky Conference,12,178,199,.472,-7.10,-4.56,0,1,0,Eastern Washington Montana,Eastern Washington
2015,26,Big South Conference,11,181,179,.503,-7.69,-5.41,0,1,0,Charleston Southern High Point,Coastal Carolina
2015,27,America East Conference,9,125,160,.439,-7.79,-4.73,0,1,0,Albany (NY),Albany (NY)
2015,28,Northeast Conference,10,140,175,.444,-7.99,-5.04,0,1,0,St. Francis (NY),Robert Morris
2015,29,Western Athletic Conference,8,115,144,.444,-8.14,-4.59,0,1,0,New Mexico State,New Mexico State
2015,30,Southland Conference,13,196,207,.486,-9.02,-5.70,0,1,0,Stephen F. Austin,Stephen F. Austin
2015,31,Atlantic Sun Conference,8,125,135,.481,-9.10,-5.79,0,1,0,North Florida,North Florida
2015,32,Mid-Eastern Athletic Conference,13,171,251,.405,-12.87,-7.36,0,1,0,North Carolina Central,Hampton
2015,33,Southwest Athletic Conference,10,120,198,.377,-15.63,-8.87,0,1,0,Texas Southern,Texas Southern
2016,1,Big 12 Conference,10,213,129,.623,15.01,10.12,1,7,1,Kansas,Kansas
2016,2,Atlantic Coast Conference,15,317,200,.613,13.96,9.24,0,7,2,North Carolina,North Carolina
2016,3,Pac-12 Conference,12,241,160,.601,11.85,8.52,1,7,0,Oregon,Oregon
2016,4,Big East Conference,10,206,134,.606,11.63,7.92,0,5,1,Villanova,Seton Hall
2016,5,Big Ten Conference,14,279,196,.587,10.93,7.12,0,7,0,Indiana,Michigan State
2016,6,Southeastern Conference,14,263,204,.563,10.33,7.50,0,3,0,Kentucky Texas A&M,Kentucky
2016,7,American Athletic Conference,11,198,161,.552,7.57,4.49,0,4,0,Temple,Connecticut
2016,8,Atlantic 10 Conference,14,260,203,.562,4.96,3.51,0,3,0,Dayton St. Bonaventure Virginia Commonwealth,Saint Joseph's
2016,9,Mountain West Conference,11,203,165,.552,2.88,2.28,0,1,0,San Diego State,Fresno State
2016,10,West Coast Conference,10,170,152,.528,2.04,1.59,0,1,0,Gonzaga Saint Mary's (CA),Gonzaga
2016,11,Missouri Valley Conference,10,169,159,.515,2.02,2.01,0,2,0,Wichita State,Northern Iowa
2016,12,Colonial Athletic Association,10,174,146,.544,1.22,0.61,0,1,0,Hofstra UNC Wilmington,UNC Wilmington
2016,13,Mid-American Conference,12,224,179,.556,-0.40,-0.97,0,1,0,Akron (East) Ball State (West) Central Michigan (West),Buffalo
2016,14,Big West Conference,9,150,143,.512,-0.72,0.08,0,1,0,Hawaii UC Irvine,Hawaii
2016,15,Ivy League,8,123,113,.521,-1.33,-1.85,0,1,0,Yale,
2016,16,Summit League,9,155,131,.542,-2.15,-1.41,0,1,0,Purdue-Fort Wayne South Dakota State,South Dakota State
2016,17,Horizon League,10,168,163,.508,-2.26,-0.91,0,1,0,Valparaiso,Green Bay
2016,18,Sun Belt Conference,11,181,175,.508,-2.91,-2.34,0,1,0,Little Rock,Little Rock
2016,19,Conference USA,14,225,237,.487,-4.13,-2.70,0,1,0,UAB,Middle Tennessee
2016,20,Metro Atlantic Athletic Conference,11,167,188,.470,-4.51,-3.46,0,1,0,Monmouth,Iona
2016,21,Southern Conference,10,170,165,.507,-5.38,-3.40,0,1,0,Chattanooga,Chattanooga
2016,22,Ohio Valley Conference,12,184,198,.482,-5.41,-3.40,0,1,0,Belmont (East) Murray State (West) Tennessee-Martin (West),Austin Peay
2016,23,Big South Conference,11,175,176,.499,-6.54,-4.36,0,1,0,High Point Winthrop,UNC Asheville
2016,24,Western Athletic Conference,8,125,131,.488,-6.66,-3.85,0,1,0,New Mexico State,Cal State Bakersfield
2016,25,Atlantic Sun Conference,8,124,142,.466,-7.21,-4.07,0,1,0,North Florida,Florida Gulf Coast
2016,26,Big Sky Conference,12,181,203,.471,-7.94,-5.05,0,1,0,Weber State,Weber State
2016,27,Patriot League,10,146,173,.458,-8.55,-6.21,0,1,0,Bucknell,Holy Cross
28,America East Conference,9,137,153,.472,-8.83,-6.24,0,1,0,Stony Brook,Stony Brook
2016,29,Southland Conference,13,186,221,.457,-10.68,-6.56,0,1,0,Stephen F. Austin,Stephen F. Austin
2016,30,Northeast Conference,10,133,182,.422,-12.87,-8.79,0,1,0,Wagner,Fairleigh Dickinson
2016,31,Southwest Athletic Conference,10,130,194,.401,-13.98,-8.48,0,1,0,Texas Southern,Southern
2016,32,Mid-Eastern Athletic Conference,13,165,250,.398,-14.26,-8.14,0,1,0,Hampton,Hampton
2017,1,Big 12 Conference,10,215,131,.621,17.44,11.26,1,6,0,Kansas,Iowa State
2017,2,Atlantic Coast Conference,15,320,196,.620,14.66,9.67,0,9,1,North Carolina,Duke
2017,3,Big East Conference,10,203,135,.601,13.19,9.11,1,7,0,Villanova,Villanova
2017,4,Big Ten Conference,14,288,192,.600,12.64,8.75,0,7,0,Purdue,Michigan
2017,5,Southeastern Conference,14,274,202,.576,11.72,8.82,0,5,1,Kentucky,Kentucky
2017,6,Pac-12 Conference,12,238,168,.586,9.33,6.73,1,4,1,Arizona Oregon,Arizona
2017,7,American Athletic Conference,11,199,163,.550,6.20,4.11,0,2,0,Southern Methodist,Southern Methodist
2017,8,Atlantic 10 Conference,14,250,211,.542,3.80,2.66,0,3,0,Dayton,Rhode Island
2017,9,Missouri Valley Conference,10,172,155,.526,3.48,2.62,0,1,0,Illinois State Wichita State,Wichita State
2017,10,West Coast Conference,10,184,147,.556,3.01,1.94,0,2,1,Gonzaga,Gonzaga
2017,11,Mountain West Conference,11,202,162,.555,2.95,1.92,0,1,0,Nevada,Nevada
2017,12,Colonial Athletic Association,10,171,156,.523,-1.22,-1.27,0,1,0,UNC Wilmington,UNC Wilmington
2017,13,Mid-American Conference,12,211,185,.533,-1.26,-1.67,0,1,0,Akron (East) Ball State (West) Western Michigan (West),Kent State
2017,14,Sun Belt Conference,12,217,189,.534,-2.80,-2.60,0,1,0,UT Arlington,Troy
2017,15,Ivy League,8,111,117,.487,-3.17,-2.50,0,1,0,Princeton,Princeton
2017,16,Conference USA,14,224,228,.496,-3.26,-2.42,0,1,0,Middle Tennessee,Middle Tennessee
2017,17,Summit League,9,143,141,.504,-3.30,-1.85,0,1,0,South Dakota,South Dakota State
2017,18,Southern Conference,10,172,160,.518,-3.60,-2.17,0,1,0,East Tennessee State Furman UNC Greensboro,East Tennessee State
2017,19,Horizon League,10,169,164,.508,-3.63,-2.42,0,1,0,Oakland Valparaiso,Northern Kentucky
2017,20,Metro Atlantic Athletic Conference,11,179,186,.490,-4.32,-3.32,0,1,0,Monmouth,Iona
2017,21,Western Athletic Conference,8,139,124,.529,-4.37,-2.66,0,1,0,Cal State Bakersfield,New Mexico State
2017,22,Patriot League,10,151,169,.472,-5.00,-3.52,0,1,0,Bucknell,Bucknell
2017,23,Ohio Valley Conference,12,182,196,.481,-5.19,-3.34,0,1,0,Belmont (East) Tennessee-Martin (West),Jacksonville State
2017,24,America East Conference,9,148,147,.502,-6.66,-5.01,0,1,0,Vermont,Vermont
2017,25,Atlantic Sun Conference,8,131,131,.500,-7.21,-4.85,0,1,0,Florida Gulf Coast,Florida Gulf Coast
2017,26,Big West Conference,9,126,160,.441,-7.63,-3.78,0,1,0,UC Irvine,UC Davis
2017,27,Big Sky Conference,12,174,210,.453,-7.72,-5.16,0,1,0,North Dakota,North Dakota
2017,28,Southland Conference,13,202,209,.491,-9.35,-5.82,0,1,0,New Orleans,New Orleans
2017,29,Big South Conference,10,160,165,.492,-9.36,-6.04,0,1,0,UNC Asheville Winthrop,Winthrop
2017,30,Northeast Conference,10,133,186,.417,-10.26,-6.52,0,1,0,Mount St. Mary's,Mount St. Mary's
2017,31,Mid-Eastern Athletic Conference,13,156,259,.376,-16.34,-9.42,0,1,0,North Carolina Central,North Carolina Central
2017,32,Southwest Athletic Conference,10,123,199,.382,-17.06,-10.16,0,1,0,Texas Southern,Texas Southern
