,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,TeamID,Name1,Abilene Christian,
60,colorado st,colorado st.,colorado state,colorado-st,colorado-state,,,,,,1161,colorado st,CS Northridge,
61,columbia,,,,,,,,,,1162,columbia,CSU Bakersfield,
62,connecticut,uconn,,,,,,,,,1163,connecticut,Dartmouth,
63,coppin st,coppin st.,coppin state,coppin-st,coppin-state,,,,,,1164,coppin st,Davidson,
64,cornell,,,,,,,,,,1165,cornell,Dayton,
65,creighton,,,,,,,,,,1166,creighton,Delaware,
66,bakersfield,cal state bakersfield,cal-state-bakersfield,cal. state - bakersfield,cs bakersfield,csu bakersfield,csu-bakersfield,,,,1167,bakersfield,Delaware State,
67,cal st. fullerton,cal state fullerton,cal state-fullerton,cal-st-fullerton,cal-state-fullerton,cs fullerton,,,,,1168,cal st. fullerton,Denver,
68,cal st. northridge,cal state northridge,cal-state-northridge,cs northridge,csu northridge,csun,,,,,1169,cal st. northridge,DePaul,
69,cs sacramento,sacramento st.,sacramento state,sacramento-st,sacramento-state,,,,,,1170,cs sacramento,Detroit,
70,dartmouth,,,,,,,,,,1171,dartmouth,Drake,
71,davidson,,,,,,,,,,1172,davidson,Drexel,
72,dayton,,,,,,,,,,1173,dayton,Duke,
73,delaware,,,,,,,,,,1174,delaware,Duquesne,
74,delaware st,delaware st.,delaware state,delaware-st,delaware-state,,,,,,1175,delaware st,East Carolina,
75,denver,,,,,,,,,,1176,denver,East Tennessee St,
76,depaul,,,,,,,,,,1177,depaul,East. Washington,
77,detroit,detroit mercy,detroit-mercy,,,,,,,,1178,detroit,Eastern Illinois,
78,drake,,,,,,,,,,1179,drake,Eastern Kentucky,
79,drexel,,,,,,,,,,1180,drexel,Eastern Michigan,
80,duke,,,,,,,,,,1181,duke,Elon,
81,duquesne,,,,,,,,,,1182,duquesne,Evansville,
82,e illinois,eastern ill.,eastern illinois,eastern-ill,eastern-illinois,,,,,,1183,e illinois,,North Alabama
83,e kentucky,eastern kentucky,eastern ky.,eastern-kentucky,eastern-ky,,,,,,1184,e kentucky,,
84,e michigan,eastern mich.,eastern michigan,eastern-mich,eastern-michigan,,,,,,1185,e michigan,,Sacramento State
85,e washington,eastern wash.,eastern washington,eastern-wash,eastern-washington,,,,,,1186,e washington,,Siu Edwardsville
86,east carolina,east-carolina,,,,,,,,,1187,east carolina,,Texas Southern
87,edwardsville,siu - edwardsville,siu edwardsville,siu-edwardsville,siue,southern illinois-edwardsville,southern-illinois-edwardsville,,,,1188,edwardsville,,UALR
88,elon,elon university,,,,,,,,,1189,elon,,UConn
89,east tenn. st.,east tennessee st.,east tennessee state,east-tennessee-state,etsu,,,,,,1190,east tenn. st.,,
90,evansville,,,,,,,,,,1191,evansville,,Utah Tech
91,f dickinson,fairleigh dickinson,fairleigh-dickinson,,,,,,,,1192,f dickinson,Fairleigh Dickinson,UTRGV
92,fairfield,,,,,,,,,,1193,fairfield,Fairfield,Western Carolina
93,fl atlantic,fla-atlantic,fla. atlantic,florida atlantic,florida-atlantic,,,,,,1194,fl atlantic,Florida Atlantic,Merrimack Warriors
94,fgcu,fl gulf coast,florida gulf coast,florida-gulf-coast,,,,,,,1195,fgcu,Florida Gulf Coast,
95,florida,,,,,,,,,,1196,florida,Florida,
96,florida a&m,florida-am,,,,,,,,,1197,florida a&m,Florida A&M,
97,fiu,florida internationa,florida international,florida intl,florida-international,,,,,,1198,fiu,Florida International,
98,florida st,florida st.,florida state,florida-st,florida-state,,,,,,1199,florida st,Florida State,
99,fordham,,,,,,,,,,1200,fordham,Fordham,
100,fresno st,fresno st.,fresno state,fresno-st,fresno-state,,,,,,1201,fresno st,Fresno State,
101,furman,,,,,,,,,,1202,furman,Furman,
102,g washington,george washington,george-washington,,,,,,,,1203,g washington,George Washington,
103,ga southern,ga-southern,ga. southern,georgia southern,georgia-southern,,,,,,1204,ga southern,Georgia Southern,
104,gardner webb,gardner-webb,,,,,,,,,1205,gardner webb,Gardner Webb,
105,george mason,george-mason,,,,,,,,,1206,george mason,George Mason,
106,georgetown,,,,,,,,,,1207,georgetown,Georgetown,
107,georgia,,,,,,,,,,1208,georgia,Georgia,
108,georgia st,georgia st.,georgia state,georgia-st,georgia-state,,,,,,1209,georgia st,Georgia State,
109,georgia tech,georgia-tech,,,,,,,,,1210,georgia tech,Georgia Tech,
110,gonzaga,,,,,,,,,,1211,gonzaga,Gonzaga,
111,grambling,grambling st.,grambling state,grambling-state,,,,,,,1212,grambling,Grambling St.,
112,grand canyon,grand-canyon,,,,,,,,,1213,grand canyon,Grand Canyon,
113,hampton,,,,,,,,,,1214,hampton,Hampton,
114,hardin-simmons,,,,,,,,,,1215,hardin-simmons,,
115,hartford,,,,,,,,,,1216,hartford,Hartford,
116,harvard,,,,,,,,,,1217,harvard,Harvard,
117,hawai'i,hawaii,,,,,,,,,1218,hawai'i,Hawaii,
118,high point,high-point,,,,,,,,,1219,high point,High Point,
119,hofstra,,,,,,,,,,1220,hofstra,Hofstra,
120,holy cross,holy-cross,,,,,,,,,1221,holy cross,Holy Cross,
121,houston,,,,,,,,,,1222,houston,Houston,
122,houston bap,houston baptist,houston chr,houston-baptist,,,,,,,1223,houston bap,Houston Christian,
123,howard,,,,,,,,,,1224,howard,Howard,
124,idaho,,,,,,,,,,1225,idaho,Idaho,
125,idaho st,idaho st.,idaho state,idaho-st,idaho-state,,,,,,1226,idaho st,Idaho State,
126,il chicago,ill-chicago,ill.-chicago,illinois-chicago,uic,,,,,,1227,il chicago,Illinois (Chi.),
127,illinois,,,,,,,,,,1228,illinois,Illinois,
128,illinois st,illinois st.,illinois state,illinois-st,illinois-state,,,,,,1229,illinois st,Illinois State,
129,incarnate word,incarnate-word,,,,,,,,,1230,incarnate word,Incarnate Word,
130,indiana,,,,,,,,,,1231,indiana,Indiana,
131,indiana st,indiana st.,indiana state,indiana-st,indiana-state,,,,,,1232,indiana st,Indiana State,
132,iona,,,,,,,,,,1233,iona,Iona,
133,iowa,,,,,,,,,,1234,iowa,Iowa,
134,iowa st,iowa st.,iowa state,iowa-st,iowa-state,,,,,,1235,iowa st,Iowa State,
135,fort wayne,fort wayne(ipfw),fort-wayne,ipfw,iupu - ft. wayne,iupu-fort wayne,iupu-fort-wayne,pfw,purdue fort wayne,,1236,fort wayne,IPFW,
136,indiana - purdue,iupui,,,,,,,,,1237,indiana - purdue,IUPUI,
137,jackson st,jackson st.,jackson state,jackson-st,jackson-state,,,,,,1238,jackson st,Jackson State,
138,jacksonville,,,,,,,,,,1239,jacksonville,Jacksonville,
139,jacksonville st,jacksonville st.,jacksonville state,jacksonville-st,jacksonville-state,,,,,,1240,jacksonville st,Jacksonville State,
140,james madison,james-madison,,,,,,,,,1241,james madison,James Madison,
141,kansas,,,,,,,,,,1242,kansas,Kansas,
142,kansas st,kansas st.,kansas state,kansas-st,kansas-state,,,,,,1243,kansas st,Kansas State,
143,kennesaw,kennesaw st.,kennesaw state,kennesaw-st,kennesaw-state,,,,,,1244,kennesaw,Kennesaw State,
144,kent,kent st.,kent state,kent-st,kent-state,,,,,,1245,kent,Kent State,
145,kentucky,,,,,,,,,,1246,kentucky,Kentucky,
146,la salle,la-salle,,,,,,,,,1247,la salle,La Salle,
147,lafayette,,,,,,,,,,1248,lafayette,Lafayette,
148,lamar,lamar university,lamar-university,,,,,,,,1249,lamar,Lamar,
149,lehigh,,,,,,,,,,1250,lehigh,Lehigh,
150,liberty,,,,,,,,,,1251,liberty,Liberty,
151,lipscomb,,,,,,,,,,1252,lipscomb,Lipscomb,
152,long beach st,long beach st.,long beach state,long-beach-st,long-beach-state,longbeach state,,,,,1253,long beach st,Long Beach State,
153,liu brooklyn,liu-brooklyn,long island,long island university,long-island,long-island-university,,,,,1254,liu brooklyn,LIU Sharks,
154,longwood,,,,,,,,,,1255,longwood,Longwood,
155,louisiana tech,louisiana-tech,,,,,,,,,1256,louisiana tech,Louisiana Tech,
156,louisville,,,,,,,,,,1257,louisville,Louisville,
157,loy marymount,loyola marymount,loyola-marymount,,,,,,,,1258,loy marymount,Loyola Maryland,
158,loyola (md),loyola maryland,loyola md,loyola-maryland,loyola-md,,,,,,1259,loyola (md),Loyola Marymount,
159,loyola (il),loyola chicago,loyola-c,loyola-chicago,loyola-il,,,,,,1260,loyola (il),Loyola Chicago,
160,louisiana state,louisiana-state,lsu,,,,,,,,1261,louisiana state,LSU,
161,ma lowell,massachusetts lowell,massachusetts-lowell,umass lowell,umass-lowell,,,,,,1262,ma lowell,UMass Lowell,
162,maine,,,,,,,,,,1263,maine,Maine Black Bears,
163,manhattan,,,,,,,,,,1264,manhattan,Manhattan,
164,marist,,,,,,,,,,1265,marist,Marist,
165,marquette,,,,,,,,,,1266,marquette,Marquette,
166,marshall,,,,,,,,,,1267,marshall,Marshall,
167,maryland,,,,,,,,,,1268,maryland,Maryland,
168,massachusetts,umass,,,,,,,,,1269,massachusetts,UMass,
169,mcneese,mcneese st,mcneese st.,mcneese state,mcneese-state,,,,,,1270,mcneese,McNeese State,
170,maryland - e. shore,maryland-eastern shore,maryland-eastern-shore,md e shore,md. eastern shore,umes,,,,,1271,maryland - e. shore,Md.-East. Shore,
171,memphis,,,,,,,,,,1272,memphis,Memphis,
172,mercer,,,,,,,,,,1273,mercer,Mercer,
173,miami (fl),miami (fla.),miami - florida,miami fl,miami-fl,miami-florida,,,,,1274,miami (fl),Miami (FL),
174,miami (oh),miami (ohio),miami oh,miami-oh,miami-ohio,,,,,,1275,miami (oh),Miami (Ohio),
175,michigan,,,,,,,,,,1276,michigan,Michigan,
176,michigan st,michigan st.,michigan state,michigan-st,michigan-state,,,,,,1277,michigan st,Michigan State,
177,minnesota,,,,,,,,,,1278,minnesota,Minnesota,
178,mississippi,ole miss,ole-miss,,,,,,,,1279,mississippi,Ole Miss,
179,mississippi st,mississippi st.,mississippi state,mississippi-st,mississippi-state,,,,,,1280,mississippi st,Mississippi St.,
180,missouri,,,,,,,,,,1281,missouri,Missouri,
181,missouri kc,missouri-kansas city,missouri-kansas-city,mo kansas city,umkc,,,,,,1282,missouri kc,UMKC,
182,missouri st,missouri st.,missouri state,missouri-st,missouri-state,southwest missouri state,sw missouri st.,,,,1283,missouri st,Missouri State,
183,monmouth,monmouth nj,monmouth-nj,,,,,,,,1284,monmouth,Monmouth,
184,montana,,,,,,,,,,1285,montana,Montana,
185,montana st,montana st.,montana state,montana-st,montana-state,,,,,,1286,montana st,Montana State,
186,morehead st,morehead st.,morehead state,morehead-st,morehead-state,,,,,,1287,morehead st,Morehead State,
187,morgan st,morgan st.,morgan state,morgan-st,morgan-state,,,,,,1288,morgan st,Morgan State,
188,morris brown,morris-brown,,,,,,,,,1289,morris brown,,
189,miss valley st.,mississippi val.,mississippi valley state,mississippi-val,mississippi-valley-state,ms valley st,ms valley state,mvsu(miss. valley st,,,1290,miss valley st.,Miss. Valley St.,
190,mount saint mary`s,mount st. mary's,mount st. marys,mount-st-marys,mt st mary's,mt st. mary's,mt-st-marys,mt. st. mary's,mt. st. mary`s,,1291,mount saint mary`s,Mount St. Mary's,
191,middle tenn st,middle tenn st.,middle tenn.,middle tennessee,middle tennessee st.,middle tennessee state,middle-tenn,middle-tennessee,middle-tennessee-state,mtsu,1292,middle tenn st,Middle Tenn. St.,
192,murray st,murray st.,murray state,murray-st,murray-state,,,,,,1293,murray st,Murray State,
193,n colorado,northern colo.,northern colorado,northern-colo,northern-colorado,,,,,,1294,n colorado,Northern Colorado,
194,n dakota st,north dakota st.,north dakota state,north-dakota-st,north-dakota-state,,,,,,1295,n dakota st,North Dakota St,
195,n illinois,northern ill.,northern illinois,northern-ill,northern-illinois,,,,,,1296,n illinois,Northern Illinois,
196,n kentucky,northern kentucky,northern ky.,northern-kentucky,northern-ky,,,,,,1297,n kentucky,Northern Kentucky,
197,navy,,,,,,,,,,1298,navy,Navy,
198,n. carolina a&t,n.c. a&t,nc a&t,nc-at,no.carolina a&t,north carolina a&t,north-carolina-at,,,,1299,n. carolina a&t,N. Carolina A&T,
199,n.c. central,nc central,nc-central,north carolina central,north-carolina-central,,,,,,1300,n.c. central,N. Carolina Central,
200,n.c. state,nc state,nc-state,north carolina st.,north carolina state,north-carolina-st,north-carolina-state,,,,1301,n.c. state,NC State,
201,ne illinois,northeastern illinois,,,,,,,,,1302,ne illinois,,
202,ne omaha,nebraska omaha,nebraska-omaha,omaha,,,,,,,1303,ne omaha,Nebraska O.,
203,nebraska,,,,,,,,,,1304,nebraska,Nebraska,
204,nevada,,,,,,,,,,1305,nevada,Nevada,
205,new hampshire,new-hampshire,,,,,,,,,1306,new hampshire,New Hampshire,
206,new mexico,new-mexico,,,,,,,,,1307,new mexico,New Mexico,
207,new mexico st,new mexico st.,new mexico state,new-mexico-st,new-mexico-state,,,,,,1308,new mexico st,New Mexico State,
208,new orleans,new-orleans,neworleans,,,,,,,,1309,new orleans,New Orleans,
209,niagara,,,,,,,,,,1310,niagara,Niagara,
210,nicholls,nicholls st,nicholls st.,nicholls state,nicholls-st,nicholls-state,,,,,1311,nicholls,Nicholls State,
211,n.j.i.t.,new jersey tech,new-jersey-tech,njit,,,,,,,1312,n.j.i.t.,NJIT,
212,norfolk st,norfolk st.,norfolk state,norfolk-st,norfolk-state,,,,,,1313,norfolk st,Norfolk State,
213,north carolina,north-carolina,unc,,,,,,,,1314,north carolina,North Carolina,
214,north dakota,north-dakota,,,,,,,,,1315,north dakota,North Dakota,
215,north florida,north-florida,,,,,,,,,1316,north florida,North Florida,
216,north texas,north-texas,,,,,,,,,1317,north texas,North Texas,
217,northeastern,,,,,,,,,,1318,northeastern,Northeastern,
218,northern ariz.,northern arizona,northern-ariz,northern-arizona,,,,,,,1319,northern ariz.,Northern Arizona,
219,northern iowa,northern-iowa,uni,,,,,,,,1320,northern iowa,Northern Iowa,
220,northwestern,,,,,,,,,,1321,northwestern,Northwestern,
221,northwestern la,northwestern st.,northwestern state,northwestern-st,northwestern-state,,,,,,1322,northwestern la,Northwestern St.,
222,notre dame,notre-dame,,,,,,,,,1323,notre dame,Notre Dame,
223,oakland,,,,,,,,,,1324,oakland,Oakland,
224,ohio,,,,,,,,,,1325,ohio,Ohio,
225,ohio st,ohio st.,ohio state,ohio-st,ohio-state,,,,,,1326,ohio st,Ohio State,
226,okla city,oklahoma city,,,,,,,,,1327,okla city,,
227,oklahoma,,,,,,,,,,1328,oklahoma,Oklahoma,
228,oklahoma st,oklahoma st.,oklahoma state,oklahoma-st,oklahoma-state,,,,,,1329,oklahoma st,Oklahoma State,
229,old dominion,old-dominion,,,,,,,,,1330,old dominion,Old Dominion,
230,oral roberts,oral-roberts,,,,,,,,,1331,oral roberts,Oral Roberts,
231,oregon,,,,,,,,,,1332,oregon,Oregon,
232,oregon st,oregon st.,oregon state,oregon-st,oregon-state,,,,,,1333,oregon st,Oregon State,
233,pacific,,,,,,,,,,1334,pacific,Pacific,
234,penn,pennsylvania,,,,,,,,,1335,penn,Penn,
235,penn st,penn st.,penn state,penn-st,penn-state,,,,,,1336,penn st,Penn State,
236,pepperdine,,,,,,,,,,1337,pepperdine,Pepperdine,
237,pitt,pittsburgh,,,,,,,,,1338,pitt,Pittsburgh,
238,portland,,,,,,,,,,1339,portland,Portland,
239,portland st,portland st.,portland state,portland-st,portland-state,,,,,,1340,portland st,Portland State,
240,prairie view,prairie view a&m,prairie-view,prairie-view-am,,,,,,,1341,prairie view,Prairie View A&M,
241,presbyterian,,,,,,,,,,1342,presbyterian,Presbyterian,
242,princeton,,,,,,,,,,1343,princeton,Princeton,
243,providence,,,,,,,,,,1344,providence,Providence,
244,purdue,,,,,,,,,,1345,purdue,Purdue,
245,quinnipiac,,,,,,,,,,1346,quinnipiac,Quinnipiac,
246,radford,,,,,,,,,,1347,radford,Radford,
247,rhode island,rhode-island,,,,,,,,,1348,rhode island,Rhode Island,
248,rice,,,,,,,,,,1349,rice,Rice,
249,richmond,,,,,,,,,,1350,richmond,Richmond,
250,rider,,,,,,,,,,1351,rider,Rider,
251,robert morris,robert-morris,,,,,,,,,1352,robert morris,Robert Morris,
252,rutgers,,,,,,,,,,1353,rutgers,Rutgers,
253,s carolina st,s carolina state,sc state,south carolina st.,south carolina state,south-carolina-st,south-carolina-state,,,,1354,s carolina st,South Carolina St,
254,s dakota st,south dakota st.,south dakota state,south-dakota-st,south-dakota-state,,,,,,1355,s dakota st,South Dakota St.,
255,s illinois,southern ill.,southern illinois,southern-ill,southern-illinois,,,,,,1356,s illinois,Southern Illinois,
256,sacred heart,sacred-heart,,,,,,,,,1357,sacred heart,Sacred Heart,
257,sam houston,sam houston st,sam houston st.,sam houston state,sam-houston-st,sam-houston-state,,,,,1358,sam houston,Sam Houston St.,
258,samford,,,,,,,,,,1359,samford,Samford,
259,san diego,san-diego,,,,,,,,,1360,san diego,San Diego Toreros,
260,san diego st,san diego st.,san diego state,san-diego-st,san-diego-state,sd state,,,,,1361,san diego st,San Diego State,
261,san francisco,san-francisco,,,,,,,,,1362,san francisco,San Francisco,
262,san jose st,san jose st.,san jose state,san-jose-st,san-jose-state,,,,,,1363,san jose st,San Jose State,
263,california-santa barbara,california-santa-barbara,santa barbara,uc santa barb.,uc santa barbara,uc-santa barbara,uc-santa-barbara,ucsb,,,1364,california-santa barbara,UC Santa Barbara,
264,santa clara,santa-clara,,,,,,,,,1365,santa clara,Santa Clara,
265,savannah st,savannah st.,savannah state,savannah-st,savannah-state,,,,,,1366,savannah st,,
266,sc upstate,south carolina upstat,south carolina upstate,south-carolina-upstate,usc upstate,usc-upstate,,,,,1367,sc upstate,USC Upstate,
267,se louisiana,southeastern la.,southeastern louisiana,southeastern-la,southeastern-louisiana,,,,,,1368,se louisiana,SE Louisiana,
268,se missouri st,se missouri st.,se missouri st.(se,se missouri state,southeast missouri state,southeast mo. st.,southeast-missouri-state,southeast-mo-st,,,1369,se missouri st,Southeast Missouri State,
269,seattle,seattle u,seattle-u,,,,,,,,1370,seattle,Seattle,
270,seton hall,seton-hall,,,,,,,,,1371,seton hall,Seton Hall,
271,sf austin,sfa,stephen f. austin,stephen-f-austin,,,,,,,1372,sf austin,Stephen F. Austin,
272,siena,,,,,,,,,,1373,siena,Siena,
273,smu,southern methodist,southern-methodist,,,,,,,,1374,smu,SMU Mustangs,
274,south ala.,south alabama,south-ala,south-alabama,,,,,,,1375,south ala.,South Alabama,
275,south carolina,south-carolina,,,,,,,,,1376,south carolina,South Carolina,
276,south dakota,south-dakota,,,,,,,,,1377,south dakota,South Dakota Coyotes,
277,south fla.,south florida,south-fla,south-florida,,,,,,,1378,south fla.,South Florida,
278,southern miss,southern miss.,southern mississippi,southern-miss,southern-mississippi,,,,,,1379,southern miss,Southern Miss,
279,southern,southern u,southern u.,southern un,southern univ,southern-u,southern-university,,,,1380,southern,Southern Univ.,
280,southern utah,southern-utah,,,,,,,,,1381,southern utah,Southern Utah,
281,saint bonaventure,st bonaventure,st-bonaventure,st. bonaventure,,,,,,,1382,saint bonaventure,St. Bonaventure,
282,saint francis (ny),st francis (ny),st francis ny,st-francis-brooklyn,st-francis-ny,st. francis (bkn),st. francis (ny),st. francis brooklyn,st. francis-ny,,1383,saint francis (ny),St. Francis Brooklyn,
283,saint francis (pa),saint-francis-pa,st francis (pa),st francis pa,st-francis-pa,st. francis (pa),,,,,1384,saint francis (pa),St. Francis (PA),
284,saint john`s,st john's,st john's (ny),st-johns,st-johns-ny,st. john's,st. john's (ny),st. john`s (ny),st. johns,,1385,saint john`s,St. John's (N.Y.),
285,saint joseph's,saint joseph`s,saint josephs,saint-josephs,sju (pa),st joseph's,st joseph's pa,st-josephs-pa,st. joseph's,st. joseph's pa,1386,saint joseph's,Saint Josephs,
286,saint louis,saint-louis,saintlouis,st louis,,,,,,,1387,saint louis,St. Louis,
287,saint mary's,saint mary's (ca),saint mary`s,saint-marys,saint-marys-ca,st mary's (ca),st mary's ca,st-marys-ca,st. mary's,st. mary`s (ca),1388,saint mary's,St. Marys (CA),
288,saint peter's,saint peter`s,saint peters,saint-peters,st peter's,st-peters,st. peter's,,,,1389,saint peter's,St. Peters,
289,stanford,,,,,,,,,,1390,stanford,Stanford,
290,stetson,,,,,,,,,,1391,stetson,Stetson,
291,stony brook,stony-brook,,,,,,,,,1392,stony brook,Stony Brook,
292,syracuse,,,,,,,,,,1393,syracuse,Syracuse,
293,a&m-corpus chris,a&m-corpus christi,am-corpus-chris,tam c,tam c. christi,texas a&m cc,texas a&m corpus,texas a&m-cc,texas a&m-corpus christi,texas-am-corpus-christi,1394,a&m-corpus chris,Texas A&M-CC,
294,tcu,texas christian,texas-christian,,,,,,,,1395,tcu,TCU,
295,temple,,,,,,,,,,1396,temple,Temple,
296,tennessee,,,,,,,,,,1397,tennessee,Tennessee,
297,tennessee st,tennessee st.,tennessee state,tennessee-st,tennessee-state,,,,,,1398,tennessee st,Tennessee State,
298,tennessee tech,tennessee-tech,,,,,,,,,1399,tennessee tech,Tennessee Tech,
299,texas,,,,,,,,,,1400,texas,Texas,
300,texas a&m,texas-am,texasa&m,,,,,,,,1401,texas a&m,Texas A&M,
301,texas st,texas st.,texas state,texas-st,texas-state,,,,,,1402,texas st,Texas State,
302,texas tech,texas-tech,,,,,,,,,1403,texas tech,Texas Tech,
303,tenn-martin,tennessee-martin,tn martin,ut martin,ut-martin,,,,,,1404,tenn-martin,UT Martin,
304,toledo,,,,,,,,,,1405,toledo,Toledo,
305,towson,,,,,,,,,,1406,towson,Towson,
306,troy,troy st.,,,,,,,,,1407,troy,Troy,
307,tulane,,,,,,,,,,1408,tulane,Tulane,
308,tulsa,,,,,,,,,,1409,tulsa,Tulsa,
309,tex.-pan american,texas rio grande valley,texas-pan american,texas-pan-american,texas-rio grande valley,tx pan american,utrgv,,,,1410,tex.-pan american,,
310,texas southern,texas-southern,tx southern,,,,,,,,1411,texas southern,,
311,alabama-birmingham,uab,,,,,,,,,1412,alabama-birmingham,UAB,
312,california-davis,uc davis,uc-davis,,,,,,,,1413,california-davis,UC Davis,
313,california-irvine,uc irvine,uc-irvine,,,,,,,,1414,california-irvine,UC Irvine,
314,cal riverside,california-riverside,uc riverside,uc-riverside,,,,,,,1415,cal riverside,UC Riverside,
315,central florida,central florida(ucf),central-florida,ucf,,,,,,,1416,central florida,UCF Knights,
316,ucla,,,,,,,,,,1417,ucla,UCLA,
317,la.-lafayette,louisiana,louisiana-lafayette,ull,,,,,,,1418,la.-lafayette,Louisiana Lafayette,
318,la-monroe,la.-monroe,louisiana-monroe,ulm,,,,,,,1419,la-monroe,Louisiana Monroe,
319,maryland-baltimore county,maryland-baltimore-county,md baltimore co,md baltimore cty,umbc,,,,,,1420,maryland-baltimore county,UMBC Retrievers,
320,n.c. asheville,nc asheville,north carolina-asheville,north-carolina-asheville,unc asheville,unc-asheville,,,,,1421,n.c. asheville,UNC Asheville,
