Season,DayNum,WTeamID,LTeamID,WScore,LScore,LocG,LocC,LocH,LocA
2010,11,1259,1436,79,66,1,,1,0
2010,11,1261,1419,82,62,1,,1,0
2010,11,1263,1200,76,73,1,,0,1
2010,11,1266,1147,85,62,1,,1,0
2010,11,1268,1149,89,51,1,,1,0
2010,11,1272,1238,82,53,1,,1,0
2010,11,1273,1137,89,80,1,,0,0
2010,11,1277,1195,97,58,1,,1,0
2010,11,1278,1399,87,50,1,,1,0
2010,11,1279,1114,92,64,1,,1,0
2010,11,1284,1198,99,70,1,,1,0
2010,11,1285,1315,61,37,1,,1,0
2010,11,1288,1107,69,65,1,,0,1
2010,11,1294,1270,101,73,1,,0,0
2010,11,1320,1176,71,65,1,,0,1
2010,11,1321,1296,77,55,1,,1,0
2010,11,1332,1445,94,43,1,,1,0
2010,11,1334,1337,67,64,1,,0,1
2010,11,1336,1335,70,55,1,,1,0
2010,11,1338,1459,63,60,1,,1,0
2010,11,1344,1136,96,53,1,,1,0
2010,11,1345,1169,89,64,1,,1,0
2010,11,1346,1216,85,74,1,,0,0
2010,11,1347,1298,76,65,1,,1,0
2010,11,1349,1170,81,51,1,,1,0
2010,11,1350,1250,65,53,1,,1,0
2010,11,1351,1280,88,74,1,,0,1
2010,11,1355,1461,77,61,1,,0,1
2010,11,1357,1463,92,86,1,,0,0
2010,11,1360,1390,77,64,1,,1,0
2010,11,1362,1142,73,62,1,,1,0
2010,11,1365,1167,84,81,1,,0,1
2010,11,1371,1389,53,51,1,,1,0
2010,11,1373,1398,85,69,1,,0,1
2010,11,1375,1223,76,64,1,,0,1
2010,11,1376,1105,88,50,1,,1,0
2010,11,1378,1374,67,61,1,,0,1
2010,11,1382,1156,72,62,1,,1,0
2010,11,1384,1110,65,61,1,,1,0
2010,11,1385,1254,83,70,1,,1,0
2010,11,1386,1180,77,67,1,,1,0
2010,11,1388,1308,100,68,1,,1,0
2010,11,1392,1271,75,57,1,,0,1
2010,11,1394,1333,67,43,1,,0,0
2010,11,1397,1122,83,54,1,,1,0
2010,11,1403,1377,88,49,1,,1,0
2010,11,1406,1275,82,71,1,,1,0
2010,11,1412,1453,68,56,1,,0,0
2010,11,1416,1269,84,67,1,,1,0
2010,11,1429,1451,66,60,1,,0,1
2010,11,1430,1295,80,72,1,,1,0
2010,11,1431,1411,89,70,1,,1,0
2010,11,1433,1126,77,51,1,,1,0
2010,11,1437,1192,84,61,1,,1,0
2010,11,1438,1255,85,72,1,,1,0
2010,11,1440,1119,93,86,1,,1,0
2010,11,1448,1331,76,56,1,,1,0
2010,11,1449,1460,74,69,1,,1,0
2010,11,1450,1290,94,66,1,,1,0
2010,11,1462,1464,83,57,1,,1,0
2010,12,1139,1172,73,62,1,,1,0
2010,12,1161,1445,57,40,1,,0,0
2010,12,1165,1104,71,67,1,,0,1
2010,12,1170,1223,70,60,1,,0,1
2010,12,1173,1166,90,80,1,,1,0
2010,12,1183,1405,72,62,1,,0,1
2010,12,1185,1324,81,77,1,,0,1
2010,12,1189,1252,91,86,1,,0,1
2010,12,1190,1111,62,58,1,,1,0
2010,12,1210,1197,100,59,1,,1,0
2010,12,1211,1290,92,74,1,,1,0
2010,12,1237,1179,88,82,1,,0,1
2010,12,1245,1412,72,65,1,,1,0
2010,12,1247,1214,83,80,1,,1,0
2010,12,1256,1410,80,62,1,,0,1
2010,12,1258,1315,83,60,1,,0,0
2010,12,1264,1312,70,58,1,,1,0
2010,12,1273,1136,80,56,1,,0,0
2010,12,1274,1300,83,53,1,,1,0
2010,12,1285,1129,95,82,1,,1,0
2010,12,1304,1367,76,49,1,,1,0
2010,12,1305,1286,75,61,1,,1,0
2010,12,1307,1415,67,51,1,,1,0
2010,12,1323,1316,86,65,1,,1,0
2010,12,1328,1291,95,71,1,,1,0
2010,12,1329,1370,86,64,1,,1,0
2010,12,1332,1413,95,64,1,,1,0
2010,12,1333,1377,62,47,1,,0,0
2010,12,1339,1186,64,58,1,,0,1
2010,12,1343,1141,71,68,1,,0,1
2010,12,1344,1137,76,65,1,,1,0
2010,12,1349,1375,71,69,1,,1,0
2010,12,1353,1265,74,67,1,,1,0
2010,12,1356,1404,91,63,1,,1,0
2010,12,1379,1418,79,72,1,,0,1
2010,12,1387,1369,59,41,1,,1,0
2010,12,1396,1174,76,56,1,,0,1
2010,12,1403,1394,66,59,1,,1,0
2010,12,1449,1125,96,78,1,,1,0
2010,12,1453,1359,70,68,1,,0,0
2010,12,1460,1340,75,70,1,,0,0
2010,13,1112,1319,87,70,1,,1,0
2010,13,1122,1103,80,77,1,,0,1
2010,13,1124,1216,71,69,1,,1,0
2010,13,1129,1315,75,60,1,,0,0
2010,13,1133,1226,74,69,1,,1,0
2010,13,1137,1136,59,56,1,,0,0
2010,13,1176,1115,75,56,1,,1,0
2010,13,1178,1444,86,80,1,,1,0
2010,13,1193,1200,63,55,1,,1,0
2010,13,1196,1391,74,46,1,,1,0
2010,13,1203,1423,76,71,1,,0,1
2010,13,1206,1171,60,44,1,,1,0
2010,13,1217,1456,87,85,1,,1,0
2010,13,1218,1270,73,65,1,,1,0
2010,13,1229,1188,82,60,1,,0,1
2010,13,1235,1152,72,50,1,,1,0
2010,13,1243,1442,82,50,1,,1,0
2010,13,1267,1299,79,63,1,,1,0
2010,13,1285,1258,64,63,1,,1,0
2010,13,1288,1420,72,57,1,,0,1
2010,13,1294,1381,73,51,1,,0,0
2010,13,1298,1255,79,76,1,,0,1
2010,13,1314,1434,88,77,1,,1,0
2010,13,1325,1292,81,68,1,,1,0
2010,13,1330,1126,69,38,1,,1,0
2010,13,1332,1161,68,55,1,,1,0
2010,13,1344,1273,79,77,1,,1,0
2010,13,1349,1223,60,46,1,,1,0
2010,13,1357,1248,81,70,1,,1,0
2010,13,1371,1284,87,72,1,,0,1
2010,13,1375,1170,70,58,1,,0,0
2010,13,1377,1394,76,73,1,,0,0
2010,13,1390,1142,70,53,1,,1,0
2010,13,1400,1414,89,42,1,,1,0
2010,13,1403,1333,64,60,1,,1,0
2010,13,1409,1198,81,49,1,,1,0
2010,13,1411,1225,72,65,1,,1,0
2010,13,1412,1359,55,52,1,,0,0
2010,13,1413,1445,99,79,1,,0,0
2010,13,1419,1108,82,66,1,,1,0
2010,13,1427,1234,62,50,1,,0,1
2010,13,1436,1138,58,57,1,,0,1
2010,13,1439,1135,69,55,1,,1,0
2010,13,1448,1187,89,58,1,,0,0
2010,13,1449,1340,111,55,1,,1,0
2010,13,1452,1259,83,60,1,,1,0
2010,13,1453,1245,87,86,1,,0,1
2010,13,1455,1192,80,64,1,,1,0
2010,13,1458,1236,75,46,1,,1,0
2010,13,1460,1125,82,73,1,,0,0
2010,14,1107,1110,51,50,1,,0,1
2010,14,1113,1402,84,62,1,,1,0
2010,14,1124,1380,61,45,1,,1,0
2010,14,1150,1189,75,61,1,,0,0
2010,14,1153,1341,69,62,1,,1,0
2010,14,1160,1164,82,58,1,,1,0
2010,14,1163,1159,77,63,1,,1,0
2010,14,1168,1417,68,65,1,,0,1
2010,14,1181,1157,74,49,1,,1,0
2010,14,1199,1239,87,61,1,,1,0
2010,14,1220,1463,68,63,1,,0,0
2010,14,1231,1367,69,61,1,,1,0
2010,14,1246,1275,72,70,1,,1,0
2010,14,1249,1410,77,72,1,,1,0
2010,14,1261,1232,56,45,1,,1,0
2010,14,1278,1372,82,42,1,,1,0
2010,14,1279,1106,90,53,1,,1,0
2010,14,1283,1120,73,62,1,,1,0
2010,14,1294,1218,81,75,1,,0,1
2010,14,1313,1263,72,71,1,,1,0
2010,14,1323,1384,95,72,1,,1,0
2010,14,1334,1360,56,55,1,,1,0
2010,14,1336,1352,80,61,1,,1,0
2010,14,1350,1440,103,59,1,,1,0
2010,14,1351,1250,86,71,1,,1,0
2010,14,1366,1148,53,45,1,,1,0
2010,14,1368,1194,90,77,1,,1,0
2010,14,1376,1204,90,66,1,,1,0
2010,14,1378,1438,66,49,1,,1,0
2010,14,1381,1270,68,59,1,,0,0
2010,14,1388,1361,80,58,1,,1,0
2010,14,1395,1169,83,65,1,,0,0
2010,14,1399,1146,71,67,1,,0,1
2010,14,1401,1374,80,68,1,,0,1
2010,14,1435,1252,95,73,1,,1,0
2010,14,1437,1335,103,65,1,,1,0
2010,14,1443,1454,69,65,1,,0,0
2010,14,1450,1186,67,61,1,,1,0
2010,15,1104,1238,86,69,1,,1,0
2010,15,1113,1395,52,49,1,,1,0
2010,15,1119,1254,63,56,1,,1,0
2010,15,1130,1383,72,44,1,,1,0
2010,15,1140,1226,87,53,1,,1,0
2010,15,1144,1187,74,68,1,,1,0
2010,15,1147,1212,71,66,1,,0,1
2010,15,1149,1154,61,60,1,,0,1
2010,15,1151,1190,85,76,1,,1,0
2010,15,1155,1251,79,39,1,,0,1
2010,15,1157,1189,69,46,1,,0,0
2010,15,1158,1457,69,57,1,,1,0
2010,15,1163,1220,76,67,1,,1,0
2010,15,1166,1197,78,53,1,,1,0
2010,15,1167,1430,58,51,1,,1,0
2010,15,1169,1402,85,82,1,,0,0
2010,15,1177,1162,59,53,1,,1,0
2010,15,1181,1150,101,59,1,,1,0
2010,15,1182,1234,52,50,1,,0,1
2010,15,1201,1319,65,59,1,,0,1
2010,15,1202,1342,68,64,1,,1,0
2010,15,1203,1131,69,59,1,,0,1
2010,15,1207,1396,46,45,1,,1,0
2010,15,1222,1311,92,60,1,,1,0
2010,15,1228,1296,80,61,1,,1,0
2010,15,1232,1454,76,63,1,,0,0
2010,15,1233,1214,68,63,1,,0,1
2010,15,1235,1179,90,70,1,,0,1
2010,15,1242,1272,57,55,1,,0,0
2010,15,1253,1337,67,58,1,,0,1
2010,15,1257,1116,96,66,1,,0,0
2010,15,1260,1145,89,69,1,,1,0
2010,15,1261,1443,71,60,1,,1,0
2010,15,1266,1271,86,60,1,,1,0
2010,15,1267,1292,63,60,1,,1,0
2010,15,1268,1193,71,42,1,,1,0
2010,15,1277,1211,75,71,1,,1,0
2010,15,1281,1404,83,68,1,,1,0
2010,15,1307,1308,97,87,1,,0,1
2010,15,1310,1180,76,69,1,,1,0
2010,15,1325,1299,93,82,1,,1,0
2010,15,1328,1419,72,61,1,,1,0
2010,15,1330,1255,98,59,1,,1,0
2010,15,1338,1127,71,46,1,,1,0
2010,15,1339,1370,98,81,1,,1,0
2010,15,1364,1451,66,57,1,,1,0
2010,15,1373,1318,59,53,1,,1,0
2010,15,1385,1382,69,68,1,,0,0
2010,15,1386,1221,69,67,1,,1,0
2010,15,1389,1284,58,34,1,,1,0
2010,15,1397,1421,124,49,1,,1,0
2010,15,1409,1114,59,45,1,,1,0
2010,15,1412,1240,87,62,1,,0,1
2010,15,1416,1224,68,59,1,,1,0
2010,15,1425,1415,77,67,1,,1,0
2010,15,1439,1422,59,46,1,,1,0
2010,15,1459,1208,60,57,1,,0,1
2010,15,1462,1132,101,57,1,,1,0
2010,15,1463,1159,65,55,1,,0,0
2010,16,1117,1369,73,49,1,,0,1
2010,16,1137,1174,82,66,1,,0,1
2010,16,1139,1321,67,54,1,,0,1
2010,16,1141,1227,67,48,1,,1,0
2010,16,1153,1405,92,68,1,,1,0
2010,16,1160,1411,88,77,1,,1,0
2010,16,1165,1269,74,61,1,,0,1
2010,16,1191,1188,76,46,1,,1,0
2010,16,1196,1204,69,49,1,,1,0
2010,16,1199,1391,80,38,1,,1,0
2010,16,1200,1357,76,66,1,,1,0
2010,16,1216,1265,75,38,1,,1,0
2010,16,1237,1183,69,66,1,,0,1
2010,16,1245,1464,70,61,1,,0,1
2010,16,1250,1346,79,71,1,,1,0
2010,16,1259,1420,69,66,1,,0,1
2010,16,1263,1175,59,56,1,,0,1
2010,16,1291,1110,73,62,1,,0,1
2010,16,1316,1366,57,46,1,,1,0
2010,16,1317,1426,101,99,1,,0,1
2010,16,1329,1380,93,61,1,,1,0
2010,16,1331,1390,83,81,1,,0,1
2010,16,1343,1264,61,54,1,,1,0
2010,16,1348,1135,78,57,1,,0,1
2010,16,1387,1304,69,55,1,,1,0
2010,16,1400,1441,73,41,1,,1,0
2010,16,1414,1258,84,78,1,,0,1
2010,16,1424,1305,88,75,1,,1,0
2010,16,1428,1429,68,67,1,,1,0
2010,16,1431,1115,70,52,1,,1,0
2010,16,1444,1433,83,67,1,,1,0
2010,16,1448,1219,83,60,1,,1,0
2010,16,1458,1324,58,42,1,,1,0
2010,17,1112,1349,66,49,1,,1,0
2010,17,1138,1298,63,53,1,,0,1
2010,17,1156,1197,78,64,1,,1,0
2010,17,1173,1210,63,59,1,,0,0
2010,17,1176,1285,56,49,1,,1,0
2010,17,1242,1146,94,44,1,,1,0
2010,17,1243,1131,80,70,1,,0,0
2010,17,1246,1358,102,92,1,,1,0
2010,17,1248,1384,88,77,1,,0,1
2010,17,1274,1408,74,54,1,,0,0
2010,17,1278,1430,76,51,1,,1,0
2010,17,1279,1231,89,71,1,,0,0
2010,17,1280,1368,82,67,1,,1,0
2010,17,1288,1190,72,61,1,,1,0
2010,17,1292,1249,74,66,1,,1,0
2010,17,1314,1326,77,73,1,,0,0
2010,17,1323,1253,82,62,1,,1,0
2010,17,1330,1251,73,41,1,,0,1
2010,17,1338,1184,71,60,1,,1,0
2010,17,1341,1195,69,54,1,,1,0
2010,17,1361,1365,86,53,1,,1,0
2010,17,1370,1201,85,84,1,,1,0
2010,17,1376,1247,78,68,1,,0,0
2010,17,1378,1172,65,58,1,,0,0
2010,17,1393,1143,95,73,1,,0,0
2010,17,1394,1410,77,55,1,,1,0
2010,17,1399,1252,92,89,1,,0,1
2010,17,1403,1322,94,75,1,,1,0
2010,17,1423,1336,80,69,1,,0,0
2010,17,1437,1206,69,68,1,,0,0
2010,17,1438,1351,79,46,1,,1,0
2010,17,1450,1236,89,70,1,,1,0
2010,17,1456,1350,78,71,1,,1,0
2010,18,1104,1344,84,75,1,,1,0
2010,18,1107,1108,71,55,1,,1,0
2010,18,1113,1362,104,65,1,,1,0
2010,18,1116,1111,81,72,1,,1,0
2010,18,1131,1231,71,67,1,,0,0
2010,18,1140,1218,83,65,1,,0,1
2010,18,1154,1185,63,56,1,,0,0
2010,18,1155,1422,89,67,1,,0,1
2010,18,1162,1255,72,61,1,,1,0
2010,18,1177,1320,60,52,1,,0,0
2010,18,1178,1352,71,59,1,,0,0
2010,18,1179,1209,65,58,1,,0,0
2010,18,1196,1407,80,58,1,,1,0
2010,18,1198,1300,83,73,1,,1,0
2010,18,1210,1206,70,62,1,,0,0
2010,18,1211,1236,90,55,1,,1,0
2010,18,1217,1136,77,51,1,,1,0
2010,18,1232,1161,65,60,1,,1,0
2010,18,1234,1132,68,46,1,,1,0
2010,18,1237,1122,77,63,1,,0,0
2010,18,1247,1172,84,70,1,,0,0
2010,18,1256,1275,74,62,1,,0,0
2010,18,1260,1221,76,73,1,,0,1
2010,18,1268,1306,82,55,1,,1,0
2010,18,1272,1399,92,59,1,,1,0
2010,18,1274,1423,67,60,1,,0,0
2010,18,1276,1223,77,55,1,,1,0
2010,18,1277,1405,75,62,1,,1,0
2010,18,1279,1243,86,74,1,,0,0
2010,18,1283,1271,70,53,1,,1,0
2010,18,1293,1241,71,43,1,,0,0
2010,18,1294,1411,66,62,1,,0,0
2010,18,1296,1398,85,57,1,,1,0
2010,18,1301,1103,66,45,1,,0,0
2010,18,1307,1311,83,59,1,,1,0
2010,18,1310,1224,82,77,1,,0,0
2010,18,1326,1143,76,70,1,,0,0
2010,18,1345,1355,74,63,1,,0,0
2010,18,1353,1180,58,56,1,,1,0
2010,18,1371,1165,89,79,1,,0,1
2010,18,1376,1378,69,66,1,,0,0
2010,18,1382,1127,66,40,1,,1,0
2010,18,1385,1135,79,76,1,,1,0
2010,18,1386,1130,84,80,1,,0,0
2010,18,1393,1314,87,71,1,,0,0
2010,18,1397,1187,105,66,1,,0,0
2010,18,1401,1359,68,49,1,,1,0
2010,18,1408,1336,63,60,1,,0,0
2010,18,1416,1120,84,74,1,,0,0
2010,18,1417,1167,75,64,1,,1,0
2010,18,1435,1388,72,70,1,,0,1
2010,18,1437,1173,71,65,1,,0,0
2010,18,1449,1363,80,70,1,,1,0
2010,19,1103,1179,63,59,1,,0,0
2010,19,1119,1343,56,52,1,,0,1
2010,19,1120,1237,80,65,1,,0,0
2010,19,1123,1188,57,47,1,,1,0
2010,19,1125,1106,78,42,1,,1,0
2010,19,1130,1355,75,58,1,,0,0
2010,19,1137,1384,70,58,1,,1,0
2010,19,1138,1406,78,69,1,,0,1
2010,19,1139,1191,64,60,1,,0,1
2010,19,1144,1421,85,66,1,,0,1
2010,19,1145,1383,79,69,1,,0,1
2010,19,1149,1391,80,64,1,,1,0
2010,19,1156,1358,80,65,1,,1,0
2010,19,1170,1333,65,63,1,,0,1
2010,19,1174,1335,97,94,1,,0,1
2010,19,1178,1107,66,54,1,,0,1
2010,19,1181,1347,104,67,1,,1,0
2010,19,1185,1271,76,51,1,,0,0
2010,19,1186,1426,72,68,1,,0,1
2010,19,1192,1141,62,53,1,,1,0
2010,19,1194,1110,81,69,1,,0,1
2010,19,1199,1273,89,50,1,,0,1
2010,19,1202,1171,83,60,1,,1,0
2010,19,1203,1420,94,51,1,,1,0
2010,19,1207,1366,63,44,1,,0,1
2010,19,1209,1224,57,33,1,,0,0
2010,19,1216,1200,70,62,1,,1,0
2010,19,1225,1295,81,69,1,,0,1
2010,19,1228,1342,94,48,1,,1,0
2010,19,1229,1316,71,55,1,,1,0
2010,19,1233,1313,80,68,1,,1,0
2010,19,1240,1204,89,67,1,,1,0
2010,19,1246,1351,92,63,1,,1,0
2010,19,1248,1312,69,52,1,,0,1
2010,19,1253,1453,81,69,1,,0,1
2010,19,1254,1298,83,72,1,,1,0
2010,19,1257,1190,69,56,1,,1,0
2010,19,1258,1425,67,59,1,,0,1
2010,19,1266,1212,87,41,1,,1,0
2010,19,1275,1311,69,58,1,,0,0
2010,19,1280,1126,67,51,1,,1,0
2010,19,1282,1315,70,63,1,,0,1
2010,19,1283,1154,72,55,1,,1,0
2010,19,1291,1259,63,44,1,,1,0
2010,19,1294,1102,70,46,1,,0,1
2010,19,1301,1122,66,59,1,,0,0
2010,19,1304,1395,90,77,1,,1,0
2010,19,1305,1222,112,99,1,,1,0
2010,19,1307,1256,81,52,1,,1,0
2010,19,1309,1402,67,55,1,,1,0
2010,19,1310,1416,63,46,1,,0,0
2010,19,1318,1429,64,61,1,,1,0
2010,19,1320,1187,74,68,1,,0,0
2010,19,1329,1317,82,68,1,,1,0
2010,19,1330,1267,70,62,1,,1,0
2010,19,1339,1332,88,81,1,,1,0
2010,19,1340,1142,92,83,1,,1,0
2010,19,1346,1463,71,64,1,,0,1
2010,19,1352,1108,107,76,1,,0,0
2010,19,1372,1238,62,61,1,,1,0
2010,19,1374,1195,79,62,1,,1,0
2010,19,1379,1286,66,62,1,,0,1
2010,19,1390,1197,99,69,1,,1,0
2010,19,1392,1447,72,48,1,,0,1
2010,19,1396,1373,73,69,1,,1,0
2010,19,1403,1249,77,54,1,,1,0
2010,19,1409,1375,84,62,1,,1,0
2010,19,1412,1208,72,56,1,,1,0
2010,19,1419,1287,74,73,1,,0,1
2010,19,1424,1356,78,69,1,,1,0
2010,19,1428,1380,88,48,1,,1,0
2010,19,1431,1117,82,56,1,,1,0
2010,19,1433,1328,82,69,1,,1,0
2010,19,1438,1331,76,55,1,,1,0
2010,19,1442,1146,56,46,1,,0,1
2010,19,1456,1264,75,70,1,,0,1
2010,19,1457,1367,49,46,1,,1,0
2010,19,1461,1129,87,61,1,,1,0
2010,19,1462,1357,105,65,1,,1,0
2010,19,1464,1389,68,56,1,,0,1
2010,20,1103,1224,69,52,1,,0,0
2010,20,1107,1352,71,66,1,,1,0
2010,20,1122,1310,69,67,1,,0,0
2010,20,1133,1459,56,54,1,,1,0
2010,20,1135,1263,75,62,1,,1,0
2010,20,1154,1271,88,62,1,,0,0
2010,20,1166,1114,80,65,1,,1,0
2010,20,1178,1108,79,59,1,,0,0
2010,20,1206,1231,69,66,1,,0,0
2010,20,1210,1131,85,67,1,,0,0
2010,20,1235,1290,96,55,1,,1,0
2010,20,1237,1209,67,56,1,,0,0
2010,20,1241,1198,81,68,1,,0,1
2010,20,1243,1173,83,75,1,,0,0
2010,20,1247,1408,61,59,1,,0,0
2010,20,1256,1311,77,45,1,,0,0
2010,20,1257,1288,90,81,1,,1,0
2010,20,1274,1376,85,70,1,,0,0
2010,20,1277,1434,90,60,1,,1,0
2010,20,1281,1410,100,44,1,,1,0
2010,20,1283,1185,75,61,1,,1,0
2010,20,1293,1300,84,61,1,,0,0
2010,20,1301,1120,60,58,1,,0,0
2010,20,1307,1275,85,60,1,,1,0
2010,20,1321,1398,69,62,1,,1,0
2010,20,1323,1251,91,72,1,,1,0
2010,20,1334,1365,84,57,1,,1,0
2010,20,1336,1172,59,57,1,,0,0
2010,20,1345,1386,85,60,1,,0,0
2010,20,1348,1221,92,75,1,,1,0
2010,20,1350,1151,75,49,1,,1,0
2010,20,1369,1296,70,64,1,,0,1
2010,20,1370,1451,91,87,1,,1,0
2010,20,1378,1423,74,66,1,,0,0
2010,20,1387,1244,76,66,1,,1,0
2010,20,1397,1177,57,53,1,,0,0
2010,20,1415,1363,70,66,1,,1,0
2010,20,1416,1179,59,50,1,,0,0
2010,20,1436,1353,77,71,1,,0,1
2010,20,1437,1279,79,67,1,,0,0
2010,21,1119,1217,56,53,1,,1,0
2010,21,1150,1463,88,74,1,,0,0
2010,21,1153,1435,67,58,1,,0,0
2010,21,1155,1457,102,66,1,,1,0
2010,21,1157,1232,77,62,1,,0,0
2010,21,1177,1386,58,51,1,,0,0
2010,21,1182,1127,70,52,1,,0,0
2010,21,1184,1192,68,39,1,,1,0
2010,21,1187,1355,82,73,1,,0,0
2010,21,1193,1110,72,56,1,,0,1
2010,21,1211,1160,76,72,1,,0,0
2010,21,1220,1189,70,46,1,,1,0
2010,21,1229,1227,69,65,1,,0,1
2010,21,1241,1300,79,66,1,,0,0
2010,21,1250,1284,86,74,1,,1,0
2010,21,1257,1111,80,53,1,,1,0
2010,21,1260,1444,60,58,1,,1,0
2010,21,1264,1194,73,66,1,,1,0
2010,21,1285,1332,68,55,1,,0,1
2010,21,1293,1198,84,71,1,,0,1
2010,21,1299,1292,65,56,1,,1,0
2010,21,1314,1205,93,72,1,,1,0
2010,21,1320,1130,81,69,1,,0,0
2010,21,1324,1399,77,56,1,,0,1
2010,21,1325,1249,71,46,1,,1,0
2010,21,1338,1455,68,55,1,,0,0
2010,21,1345,1397,73,72,1,,0,0
2010,21,1359,1270,68,52,1,,1,0
2010,21,1361,1201,62,58,1,,0,1
2010,21,1364,1362,76,65,1,,1,0
2010,21,1388,1142,92,67,1,,1,0
2010,21,1395,1159,76,63,1,,1,0
2010,21,1400,1234,85,60,1,,0,0
2010,21,1417,1337,71,52,1,,1,0
2010,21,1427,1414,66,56,1,,0,0
2010,21,1433,1214,63,52,1,,0,1
2010,21,1439,1144,71,60,1,,0,1
2010,21,1443,1169,68,67,1,,1,0
2010,21,1454,1402,96,77,1,,0,0
2010,21,1458,1112,65,61,1,,0,0
2010,22,1112,1160,91,87,1,,0,0
2010,22,1129,1186,82,69,1,,0,1
2010,22,1133,1342,71,58,1,,1,0
2010,22,1140,1380,107,51,1,,1,0
2010,22,1143,1239,79,47,1,,1,0
2010,22,1145,1138,73,71,1,,0,1
2010,22,1150,1220,80,72,1,,0,1
2010,22,1153,1268,69,57,1,,0,0
2010,22,1162,1137,73,59,1,,1,0
2010,22,1164,1420,77,66,1,,0,1
2010,22,1168,1308,84,73,1,,1,0
2010,22,1169,1157,76,69,1,,0,0
2010,22,1180,1335,58,49,1,,0,1
2010,22,1183,1152,82,68,1,,0,1
2010,22,1184,1414,67,57,1,,1,0
2010,22,1185,1369,86,76,1,,0,1
2010,22,1196,1199,68,52,1,,1,0
2010,22,1203,1343,65,50,1,,1,0
2010,22,1208,1421,79,58,1,,1,0
2010,22,1211,1458,74,61,1,,0,0
2010,22,1225,1170,75,61,1,,1,0
2010,22,1228,1459,78,64,1,,1,0
2010,22,1232,1443,64,63,1,,0,1
2010,22,1235,1398,84,53,1,,1,0
2010,22,1246,1156,73,49,1,,0,0
2010,22,1248,1216,86,82,1,,1,0
2010,22,1254,1389,77,71,1,,1,0
2010,22,1259,1171,58,41,1,,0,1
2010,22,1266,1377,93,68,1,,1,0
2010,22,1269,1383,83,65,1,,1,0
2010,22,1272,1146,81,49,1,,1,0
2010,22,1280,1410,75,50,1,,1,0
2010,22,1281,1151,99,56,1,,1,0
2010,22,1288,1116,97,94,1,,0,1
2010,22,1295,1413,63,62,1,,0,1
2010,22,1298,1406,87,70,1,,1,0
2010,22,1304,1282,70,48,1,,1,0
2010,22,1312,1447,56,51,1,,1,0
2010,22,1317,1238,68,58,1,,1,0
2010,22,1321,1251,69,53,1,,1,0
2010,22,1322,1223,92,61,1,,1,0
2010,22,1323,1244,80,62,1,,1,0
2010,22,1326,1252,84,64,1,,1,0
2010,22,1329,1341,80,58,1,,1,0
2010,22,1344,1436,106,64,1,,1,0
2010,22,1346,1263,59,46,1,,0,1
2010,22,1348,1392,75,58,1,,1,0
2010,22,1349,1202,77,65,1,,1,0
2010,22,1350,1255,65,52,1,,1,0
2010,22,1351,1197,88,73,1,,0,0
2010,22,1358,1331,71,65,1,,0,0
2010,22,1366,1442,52,48,1,,1,0
2010,22,1368,1240,77,73,1,,1,0
2010,22,1370,1428,77,74,1,,0,1
2010,22,1373,1174,90,56,1,,1,0
2010,22,1387,1290,75,39,1,,1,0
2010,22,1390,1438,57,52,1,,0,0
2010,22,1393,1165,88,73,1,,1,0
2010,22,1395,1402,108,99,1,,1,0
2010,22,1396,1123,66,46,1,,1,0
2010,22,1400,1338,78,62,1,,0,0
